Trait,Comparison_Family,Level_A,Level_B,Difference_A_minus_B,HC3_SE,HC3_t,Raw_p,CI95_Lower,CI95_Upper,Holm_p,Holm_Significant,Seed_Mass_Ratio_A_over_B,Seed_Mass_Ratio_CI95_Lower,Seed_Mass_Ratio_CI95_Upper
Wood Density,Zone_within_Major River,Buffer,Transition,0.06455694762261346,0.022864488062773358,2.823459132143062,0.0059771357122542805,0.019063788431269706,0.11005010681395722,0.0059771357122542805,True,,,
Wood Density,Zone_within_Major River,Core,Transition,0.15215379139229937,0.020355244589816524,7.474918354379295,8.057811423570577e-11,0.11165323962132133,0.1926543431632774,2.417343427071173e-10,True,,,
Wood Density,Zone_within_Stream,Buffer,Core,-0.04271075918214362,0.0240603484107088,-1.7751513175567266,0.07962943479781102,-0.09058330535253895,0.005161786988251697,0.07962943479781102,False,,,
Wood Density,Zone_within_Stream,Buffer,Transition,0.12969933410949758,0.017105596942904186,7.58227465211613,4.9689306968886686e-11,0.09566456181763491,0.16373410640136024,1.4906792090666005e-10,True,,,
Wood Density,Zone_within_Stream,Core,Transition,0.1724100932916412,0.023266597253609706,7.410198036796832,1.077883292784179e-10,0.12611686294275404,0.21870332364052836,2.155766585568358e-10,True,,,
Wood Density,Zone_within_Upland,Buffer,Core,-0.05158002121068478,0.022364248855236312,-2.306360546449024,0.02364626208910086,-0.09607786129233516,-0.007082181129034401,0.02364626208910086,True,,,
Wood Density,Zone_within_Upland,Buffer,Transition,0.16720152109328584,0.02250814740412234,7.4284888085752945,9.928409895992798e-11,0.12241736803695163,0.21198567414962005,1.9856819791985597e-10,True,,,
Wood Density,Zone_within_Upland,Core,Transition,0.21878154230397062,0.013394803034991453,16.333315371076694,2.3621498967308052e-27,0.19213008589984912,0.24543299870809213,7.086449690192415e-27,True,,,
Log10 Seed Mass,Zone_within_Major River,Buffer,Core,-0.3316982905557596,0.10600083507476125,-3.1292045041137304,0.0024367717889055792,-0.5426067023790229,-0.12078987873249641,0.007310315366716738,True,0.4659096539925284,0.28667729478556125,0.757199156095743
Log10 Seed Mass,Zone_within_Major River,Buffer,Transition,-0.3374625634855841,0.19175821367661686,-1.759833683341902,0.08221147572691542,-0.7190012586484751,0.044076131677306785,0.16442295145383085,False,0.45976661905475485,0.1909847723542174,1.1068177917608317
Log10 Seed Mass,Zone_within_Major River,Core,Transition,-0.005764272929824468,0.17085164400853015,-0.0337384692039409,0.9731687039014786,-0.3457054523537243,0.3341769064940754,0.9731687039014786,False,0.9868149653368805,0.45112256161404146,2.1586235286675106
Log10 Seed Mass,Zone_within_Stream,Buffer,Core,-0.11561054580502227,0.18207177401375868,-0.6349723697220959,0.5272360444175144,-0.4778762644477338,0.24665517283768923,1.0,False,0.7662834646828431,0.3327543453753127,1.7646361539893693
Log10 Seed Mass,Zone_within_Stream,Buffer,Transition,-0.0702961563705979,0.20085047008408588,-0.34999249113615954,0.7272527597287388,-0.46992558975679327,0.3293332770155975,1.0,False,0.85055782354188,0.3389022172871761,2.1346824372508313
Log10 Seed Mass,Zone_within_Stream,Core,Transition,0.04531438943442437,0.17700343752452452,0.25600852767701693,0.7985932953044051,-0.3068669294129803,0.3974957082818291,1.0,False,1.1099780469540959,0.49332493869325444,2.4974437091778747
Log10 Seed Mass,Zone_within_Upland,Buffer,Core,-0.04299536848763613,0.05417282238804049,-0.7936704530485759,0.42970623867223146,-0.15078229229618018,0.06479155532090793,0.42970623867223146,False,0.9057422600909426,0.7066717133132636,1.1608912968488718
Log10 Seed Mass,Zone_within_Upland,Buffer,Transition,-0.6296080661777952,0.14844734145211463,-4.241288931273255,5.862210934409449e-05,-0.9249717112186047,-0.33424442113698577,0.00017586632803228347,True,0.23463453452447988,0.11885796458158485,0.46318616497702486
Log10 Seed Mass,Zone_within_Upland,Core,Transition,-0.5866126976901591,0.14678914914092356,-3.9962946929202996,0.00014104683297616754,-0.8786770601677303,-0.294548335212588,0.0002820936659523351,True,0.259052210394733,0.13222785103075618,0.5075182511647087
Maximum Height,Zone_within_Major River,Buffer,Core,-2.6133591789664528,1.075968194068601,-2.4288442663759926,0.01736090476973084,-4.75419837917937,-0.47251997875353524,0.05208271430919252,False,,,
Maximum Height,Zone_within_Major River,Buffer,Transition,-4.381953484659109,2.2855919860623777,-1.9172072318158353,0.05873723154496881,-8.92956460033012,0.16565763101190356,0.11747446308993761,False,,,
Maximum Height,Zone_within_Major River,Core,Transition,-1.7685943056926554,2.287949295193604,-0.7730041524119522,0.4417698577328485,-6.320895727102228,2.7837071157169175,0.4417698577328485,False,,,
Maximum Height,Zone_within_Stream,Buffer,Core,0.5705069148961581,1.6295445744798747,0.3501020615396514,0.7271708421550368,-2.671775638409846,3.812789468202163,0.7271708421550368,False,,,
Maximum Height,Zone_within_Stream,Buffer,Transition,-3.638773541374599,1.8562794514307535,-1.9602509409722566,0.05340469361439733,-7.33218737840045,0.05464029565125239,0.10680938722879466,False,,,
Maximum Height,Zone_within_Stream,Core,Transition,-4.209280456270757,1.7739485434675213,-2.3728312028954988,0.02002220464045695,-7.738881611724376,-0.6796793008171376,0.060066613921370846,False,,,
Maximum Height,Zone_within_Upland,Buffer,Core,-1.8358840568409764,1.1976512260334975,-1.5329037510538381,0.12919626167980952,-4.218834321551218,0.547066207869265,0.12919626167980952,False,,,
Maximum Height,Zone_within_Upland,Buffer,Transition,5.023636369595973,2.4495464761447865,2.050843459603352,0.04351521279956574,0.14980724733864204,9.897465491853303,0.08703042559913148,False,,,
Maximum Height,Zone_within_Upland,Core,Transition,6.859520426436949,2.4227154618495517,2.8313355548572128,0.005845007287726679,2.039076606367323,11.679964246506575,0.017535021863180036,True,,,
