Plot_ID,Zone,Habitat,Original_Abundance,FD_Represented_Abundance,FD_Excluded_Abundance,Original_Richness,FD_Richness,Percent_Abundance_Represented
BuP3,Buffer,Upland,22.0,22.0,0.0,9,9,100.0
BuP4,Buffer,Upland,51.0,51.0,0.0,11,11,100.0
BuP5,Buffer,Upland,30.0,30.0,0.0,11,11,100.0
BuP6,Buffer,Upland,18.0,18.0,0.0,12,12,100.0
BuP7,Buffer,Upland,17.0,17.0,0.0,13,13,100.0
BuP8,Buffer,Upland,25.0,25.0,0.0,14,14,100.0
BuP9,Buffer,Upland,20.0,20.0,0.0,13,13,100.0
BuP10,Buffer,Upland,24.0,24.0,0.0,16,16,100.0
TmP1,Transition,Major River,9.0,9.0,0.0,6,6,100.0
TmP2,Transition,Major River,12.0,12.0,0.0,7,7,100.0
TmP3,Transition,Major River,31.0,31.0,0.0,10,10,100.0
TmP4,Transition,Major River,9.0,9.0,0.0,5,5,100.0
TmP5,Transition,Major River,8.0,8.0,0.0,4,4,100.0
TmP6,Transition,Major River,18.0,18.0,0.0,14,14,100.0
TmP7,Transition,Major River,10.0,10.0,0.0,9,9,100.0
TmP8,Transition,Major River,12.0,12.0,0.0,7,7,100.0
TmP9,Transition,Major River,13.0,13.0,0.0,9,9,100.0
TmP10,Transition,Major River,15.0,15.0,0.0,10,10,100.0
TsP1,Transition,Stream,18.0,18.0,0.0,7,7,100.0
TsP2,Transition,Stream,13.0,13.0,0.0,7,7,100.0
TsP3,Transition,Stream,12.0,12.0,0.0,7,7,100.0
TsP4,Transition,Stream,26.0,26.0,0.0,4,4,100.0
TsP5,Transition,Stream,24.0,24.0,0.0,3,3,100.0
TsP6,Transition,Stream,21.0,21.0,0.0,10,10,100.0
TsP7,Transition,Stream,22.0,22.0,0.0,7,7,100.0
TsP8,Transition,Stream,26.0,26.0,0.0,4,4,100.0
TsP9,Transition,Stream,30.0,30.0,0.0,7,7,100.0
TsP10,Transition,Stream,17.0,17.0,0.0,8,8,100.0
TuP1,Transition,Upland,7.0,7.0,0.0,5,5,100.0
TuP2,Transition,Upland,10.0,10.0,0.0,5,5,100.0
TuP3,Transition,Upland,9.0,9.0,0.0,2,2,100.0
TuP4,Transition,Upland,12.0,10.0,2.0,6,5,83.33333333333333
TuP5,Transition,Upland,10.0,10.0,0.0,3,3,100.0
TuP6,Transition,Upland,8.0,8.0,0.0,8,8,100.0
TuP7,Transition,Upland,10.0,10.0,0.0,5,5,100.0
TuP8,Transition,Upland,9.0,9.0,0.0,6,6,100.0
TuP9,Transition,Upland,8.0,8.0,0.0,4,4,100.0
TuP10,Transition,Upland,7.0,7.0,0.0,6,6,100.0
