Plot_ID,Zone,Habitat,FD_Richness,Unique_Functional_Vectors,Zero_Distance_Taxon_Pairs,FDis,RaoQ,FEve,FRic_4D,Original_Abundance,FD_Represented_Abundance,FD_Excluded_Abundance,Percent_Abundance_Represented,FEve_PreCorrection
CsP7,Core,Stream,9,9,0,1.4797042507397251,1.9300455755169903,0.7562929405884304,1.94843234596237,19.0,19.0,0.0,100.0,0.5125858811768609
CsP8,Core,Stream,7,7,0,1.6478177671947116,2.13785029992329,0.6844649729769638,2.743630639622931,17.0,17.0,0.0,100.0,0.3689299459539276
CsP9,Core,Stream,6,6,0,1.6651187370902774,2.1420533209214474,0.8373609114562419,1.066008713897121,12.0,12.0,0.0,100.0,0.6747218229124837
CsP10,Core,Stream,10,10,0,1.580018149829522,2.0640542726266204,0.7351237179262486,2.0552851765749782,18.0,18.0,0.0,100.0,0.4702474358524974
CuP1,Core,Upland,8,8,0,1.5257145471226055,1.827306763669844,0.7048680075942797,1.0341870136626456,19.0,19.0,0.0,100.0,0.4097360151885592
CuP2,Core,Upland,10,10,0,1.6637583632724262,2.0573164249191187,0.740965867482842,2.616127496026132,20.0,20.0,0.0,100.0,0.48193173496568364
CuP3,Core,Upland,7,7,0,1.7126218268341507,2.0905653356568985,0.7453182491652542,1.6568691290448505,18.0,18.0,0.0,100.0,0.4906364983305085
CuP4,Core,Upland,10,10,0,1.8046892903272354,2.265881646036649,0.7268947005519822,4.061836814796311,26.0,26.0,0.0,100.0,0.4537894011039645
CuP5,Core,Upland,13,13,0,1.652878151064698,2.1550270632469593,0.7638610951771807,5.413382403915709,29.0,29.0,0.0,100.0,0.5277221903543612
CuP6,Core,Upland,12,12,0,1.595432956136453,2.004093489765221,0.8151852102725584,4.408732867738503,21.0,21.0,0.0,100.0,0.6303704205451166
CuP7,Core,Upland,10,10,0,1.785621373419769,2.2316902137986077,0.796234603853356,3.525221298442411,25.0,25.0,0.0,100.0,0.592469207706712
CuP8,Core,Upland,11,11,0,1.7460953380476807,2.172256523606494,0.7978924330681779,5.076057181500728,24.0,24.0,0.0,100.0,0.5957848661363561
CuP9,Core,Upland,14,14,0,1.669960070235498,2.159055933189052,0.7765074705500125,5.8932928436915795,25.0,25.0,0.0,100.0,0.5530149411000248
CuP10,Core,Upland,13,13,0,1.7907681573185472,2.2860309112170216,0.8247789215583404,5.748596365682416,23.0,23.0,0.0,100.0,0.6495578431166811
BmP1,Buffer,Major River,10,10,0,1.6922096019465238,2.2326494859127513,0.7247879056998263,4.21441481655075,21.0,21.0,0.0,100.0,0.4495758113996524
BmP2,Buffer,Major River,10,10,0,1.585489648486885,2.0879627829675824,0.780933513028226,3.734895934737703,17.0,17.0,0.0,100.0,0.5618670260564522
BmP3,Buffer,Major River,11,11,0,1.6852035581350082,2.2235852058677223,0.7104401580565961,4.958728560793699,23.0,23.0,0.0,100.0,0.42088031611319243
BmP4,Buffer,Major River,11,11,0,1.7597126021974245,2.3564876200003995,0.81335350504935,6.337536086640425,18.0,18.0,0.0,100.0,0.6267070100987001
BmP5,Buffer,Major River,5,5,0,1.9907648308977288,2.4190489048719166,0.9694333572848978,0.27552074003988447,6.0,6.0,0.0,100.0,0.938866714569796
BmP6,Buffer,Major River,14,14,0,1.7885764164145614,2.390122535681395,0.7766598784129466,8.437054736316577,28.0,28.0,0.0,100.0,0.5533197568258934
BmP7,Buffer,Major River,10,10,0,1.8275097408946472,2.41450591514674,0.7587589704179671,4.192213941330404,14.0,14.0,0.0,100.0,0.5175179408359345
BmP8,Buffer,Major River,8,8,0,1.5753154471664896,2.0355641444851122,0.7141159994520714,1.443103002945574,17.0,17.0,0.0,100.0,0.4282319989041432
BmP9,Buffer,Major River,14,14,0,1.6469926742285126,2.234254045115266,0.7665014055607058,7.716258576974939,16.0,16.0,0.0,100.0,0.5330028111214118
BmP10,Buffer,Major River,10,10,0,1.6260271514830502,2.1450895441683793,0.6419207491967623,5.372608842806839,20.0,20.0,0.0,100.0,0.2838414983935251
BsP1,Buffer,Stream,7,7,0,1.4615722971983693,1.8184960423450693,0.42640420655001,2.4555086055640962,27.0,27.0,0.0,100.0,-0.14719158689998002
BsP2,Buffer,Stream,7,7,0,1.2376536979554675,1.493048216695286,0.6817208475770298,1.1008713124514529,20.0,20.0,0.0,100.0,0.36344169515405944
BsP3,Buffer,Stream,8,8,0,1.670383487840285,2.090599009231113,0.7693542619485259,2.1911246185720032,18.0,18.0,0.0,100.0,0.5387085238970518
BsP4,Buffer,Stream,13,13,0,1.3718923212641478,1.8230017983415294,0.6903569542590597,6.55839654940533,36.0,36.0,0.0,100.0,0.38071390851811937
BsP5,Buffer,Stream,12,11,1,1.8642543387857862,2.4549473976855642,0.8960697993611846,6.358004151978899,20.0,20.0,0.0,100.0,0.7921395987223694
BsP6,Buffer,Stream,8,8,0,1.3482727092943954,1.6703208821113649,0.8804636071436512,0.9295120401194598,20.0,20.0,0.0,100.0,0.7609272142873028
BsP7,Buffer,Stream,11,11,0,1.7537725052501962,2.3097817277030828,0.76191860081743,5.429577272321082,18.0,18.0,0.0,100.0,0.5238372016348601
BsP8,Buffer,Stream,16,16,0,1.8390226503426372,2.477895778840737,0.8358519801121154,10.431050509631497,19.0,19.0,0.0,100.0,0.6717039602242314
BsP9,Buffer,Stream,13,13,0,1.5589992381964568,2.0527035246003926,0.7587968252820148,6.207588912403677,23.0,23.0,0.0,100.0,0.5175936505640297
BsP10,Buffer,Stream,14,14,0,1.7638322969338716,2.437238538417938,0.8041230868903609,11.414058160616682,24.0,24.0,0.0,100.0,0.6082461737807221
BuP1,Buffer,Upland,7,7,0,1.7323527466091853,2.2926672882514563,0.8847929762892732,1.9074967821137865,7.0,7.0,0.0,100.0,0.769585952578547
BuP2,Buffer,Upland,10,10,0,1.3121914361187996,1.7433507714917669,0.8327168418268337,1.3979902401689521,15.0,15.0,0.0,100.0,0.6654336836536675
BuP3,Buffer,Upland,9,9,0,1.4108311948002903,1.7638644038613687,0.8242128988695961,0.9961429739302265,22.0,22.0,0.0,100.0,0.6484257977391925
BuP4,Buffer,Upland,11,11,0,1.6325721932941426,2.1305743462575313,0.7250472158938284,7.384942606732446,51.0,51.0,0.0,100.0,0.45009443178765673
BuP5,Buffer,Upland,11,11,0,1.5217031752294299,1.9339008966724547,0.6203294212967464,4.775116151447067,30.0,30.0,0.0,100.0,0.2406588425934928
BuP6,Buffer,Upland,12,12,0,1.667081330417253,2.2934496459131974,0.7427885480053447,8.471014714052858,18.0,18.0,0.0,100.0,0.485577096010689
BuP7,Buffer,Upland,13,13,0,1.752807867226157,2.366950570034404,0.843365143118902,8.767591111468352,17.0,17.0,0.0,100.0,0.686730286237804
BuP8,Buffer,Upland,14,14,0,1.4082109927912507,1.9084820008953953,0.7350509401487123,6.41537876549587,25.0,25.0,0.0,100.0,0.47010188029742506
BuP9,Buffer,Upland,13,13,0,1.8201912166460104,2.4080727220588276,0.8078469336338872,4.642887775002874,20.0,20.0,0.0,100.0,0.6156938672677744
BuP10,Buffer,Upland,16,16,0,1.5469708070808017,2.096313002652612,0.8110248032782377,10.801961750897433,24.0,24.0,0.0,100.0,0.6220496065564758
TmP1,Transition,Major River,6,6,0,1.4718575945763408,1.8476634880831146,0.8502705880277295,0.5919808075124662,9.0,9.0,0.0,100.0,0.7005411760554592
TmP2,Transition,Major River,7,7,0,2.1676288473661294,2.6681643800871866,0.8049704513644579,4.229245534865635,12.0,12.0,0.0,100.0,0.609940902728916
TmP3,Transition,Major River,10,10,0,1.7014110630494061,2.3581690703371594,0.6536586429406628,6.440448604626225,31.0,31.0,0.0,100.0,0.30731728588132556
TmP4,Transition,Major River,5,5,0,1.0027869076632236,1.1731788783397201,0.7253568025645437,0.0025624302374430137,9.0,9.0,0.0,100.0,0.4507136051290872
TmP5,Transition,Major River,4,4,0,1.297295647135223,1.5317603797735173,0.7333428999438704,,8.0,8.0,0.0,100.0,0.4666857998877413
TmP6,Transition,Major River,14,14,0,1.4951097983940702,2.0684660946696516,0.7025248556315132,6.424746861102641,18.0,18.0,0.0,100.0,0.4050497112630268
TmP7,Transition,Major River,9,9,0,1.7859883176606266,2.4421329967434797,0.755327155532082,3.85217431924497,10.0,10.0,0.0,100.0,0.5106543110641639
TmP8,Transition,Major River,7,7,0,1.3943505685635922,1.8789404619821097,0.8415366209001289,1.0024297716863813,12.0,12.0,0.0,100.0,0.6830732418002581
TmP9,Transition,Major River,9,9,0,1.6330604151148294,2.145241141302236,0.9328925339061473,3.1378082666130243,13.0,13.0,0.0,100.0,0.8657850678122947
TmP10,Transition,Major River,10,10,0,1.4665960823323405,1.9685377282186869,0.8460223445595917,2.5791756105396573,15.0,15.0,0.0,100.0,0.6920446891191829
TsP1,Transition,Stream,7,7,0,2.0714197313272513,2.5571850420537796,0.8033516727161705,2.5749867186792446,18.0,18.0,0.0,100.0,0.6067033454323414
TsP2,Transition,Stream,7,7,0,1.9856472167908747,2.492364214687825,0.8256685572649909,2.076307112613525,13.0,13.0,0.0,100.0,0.6513371145299818
TsP3,Transition,Stream,7,7,0,1.7986008371256086,2.2668588320982184,0.8054622874677466,1.4510556434281656,12.0,12.0,0.0,100.0,0.6109245749354935
TsP4,Transition,Stream,4,4,0,1.039274247121184,1.1927805257283102,0.6536842703753618,,26.0,26.0,0.0,100.0,0.30736854075072406
TsP5,Transition,Stream,3,3,0,0.9417009797196452,0.9794698250574968,0.8311202849484767,,24.0,24.0,0.0,100.0,0.662240569896953
TsP6,Transition,Stream,10,10,0,1.967378855447456,2.5206974613369475,0.7889829574255341,5.409319420622283,21.0,21.0,0.0,100.0,0.5779659148510681
TsP7,Transition,Stream,7,7,0,1.3625709657138958,1.7374873652978375,0.6428156155285367,1.0629063509359653,22.0,22.0,0.0,100.0,0.28563123105707366
TsP8,Transition,Stream,4,4,0,1.060409863605516,1.22625221935029,0.5818535306507242,,26.0,26.0,0.0,100.0,0.16370706130144885
TsP9,Transition,Stream,7,7,0,1.79619465045184,2.253418534659795,0.7469723455373086,1.8849711986529456,30.0,30.0,0.0,100.0,0.4939446910746178
TsP10,Transition,Stream,8,8,0,1.5791042214997209,2.093568917221075,0.8344909759474685,2.549992488062333,17.0,17.0,0.0,100.0,0.6689819518949367
TuP1,Transition,Upland,5,5,0,2.924414402508278,3.5726380156657536,0.8368043234288152,1.7144496503699371,7.0,7.0,0.0,100.0,0.6736086468576303
TuP2,Transition,Upland,5,5,0,1.959219209608106,2.348035823993599,0.740609470032363,0.09921093462728905,10.0,10.0,0.0,100.0,0.4812189400647259
TuP3,Transition,Upland,2,2,0,1.0881658073888012,1.088165807388801,,,9.0,9.0,0.0,100.0,
TuP4,Transition,Upland,5,5,0,1.6212802726868671,2.0394942496249544,0.6211304822764273,0.05516423541152772,12.0,10.0,2.0,83.33333333333333,0.24226096455285484
TuP5,Transition,Upland,3,3,0,0.8766009122519117,0.994169021412492,0.8473649978786075,,10.0,10.0,0.0,100.0,0.694729995757215
TuP6,Transition,Upland,8,8,0,2.0604414160492137,2.7054988700218487,0.9002868663845721,5.056366289677265,8.0,8.0,0.0,100.0,0.8005737327691446
TuP7,Transition,Upland,5,5,0,1.6967334502757114,2.260958307847055,0.8095514769234377,0.013188910902545042,10.0,10.0,0.0,100.0,0.6191029538468753
TuP8,Transition,Upland,6,6,0,1.6714786505929893,2.175101699041467,0.6036441468529236,0.8422032253309355,9.0,9.0,0.0,100.0,0.20728829370584734
TuP9,Transition,Upland,4,4,0,1.638172594265633,1.9755825199689117,0.6035589265149872,,8.0,8.0,0.0,100.0,0.20711785302997465
TuP10,Transition,Upland,6,6,0,1.5315754549363598,1.94469897836403,0.7360775975341488,0.8896101320162237,7.0,7.0,0.0,100.0,0.4721551950682974
