Habitat,Zone,Trait,Column,N_Plots,Mean,SD,Median,Min,Q1,Q3,Max
Stream,Buffer,Maximum Height,CWM_Max_Height_m,10,25.0414589733691,3.6461390116363437,25.07504266343116,19.9259936604,22.180049767647223,28.05739410085,30.471596900555557
Stream,Core,Wood Density,CWM_WD,10,0.5678539083001622,0.061027457753455305,0.5953501400560224,0.45999999999999996,0.5383,0.6127083333333333,0.6247368421052633
Stream,Core,Specific Leaf Area,CWM_SLA,10,13.994407009383957,2.0679742385097106,14.52495748286087,10.055012889035217,12.808172012198067,15.037545736165388,17.267074181434733
Stream,Core,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.073607454677938,0.3295868080606038,2.160576818199249,1.4018732989339722,1.9742816030310635,2.276910370589613,2.5258494514181615
Stream,Core,Maximum Height,CWM_Max_Height_m,10,24.47095205847295,3.256441307589426,23.67447878465333,20.57668861141176,23.30662586822269,25.087839614315786,32.76639843916667
Stream,Transition,Wood Density,CWM_WD,10,0.3954438150085209,0.03387713579990684,0.3946256684491979,0.3566666666666667,0.36976923076923074,0.4070054945054945,0.4716666666666667
Stream,Transition,Specific Leaf Area,CWM_SLA,10,16.69898085235492,2.213416450210455,16.92734631401699,13.640990887702715,14.588891332292205,18.717468156283005,19.433297233335015
Stream,Transition,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.0282930652435143,0.4163465960133538,1.995291370522203,1.3221971321881052,1.845083539386184,2.323577687972914,2.641398468480353
Stream,Transition,Maximum Height,CWM_Max_Height_m,10,28.680232514743704,4.209231631077116,28.868482434318185,22.967264080833335,25.100308107777472,31.210935419596154,35.98837681716667
Upland,Buffer,Wood Density,CWM_WD,10,0.6011162036329682,0.0610172115173489,0.6032189542483661,0.4742857142857143,0.5684705882352941,0.6478375000000001,0.6822727272727273
Upland,Buffer,Specific Leaf Area,CWM_SLA,10,13.738979744760329,1.4052915954816305,13.905976155807611,11.341397727922015,12.74449224896906,14.442393897110179,16.299374171428575
Upland,Buffer,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.097365026729123,0.1241335612909245,2.1270953509227217,1.8578084593585757,2.0439558883095583,2.1760692572980145,2.2662072373548163
Upland,Buffer,Maximum Height,CWM_Max_Height_m,10,24.734199578941194,2.6538524544849853,24.814695150758823,20.33367693,24.177970509729164,26.02009887817857,28.3896057056
Upland,Core,Wood Density,CWM_WD,10,0.6526962248436534,0.02789868348824997,0.6578890502509056,0.6104166666666666,0.6334766827325635,0.6686565184757816,0.69
Upland,Core,Specific Leaf Area,CWM_SLA,10,11.76058001142929,1.3579170954988118,12.280219897399387,9.77391059520689,10.403663683146211,12.827784947659564,13.206751433861257
Upland,Core,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.140360395216761,0.10489571550167276,2.134017179662451,2.01343068912421,2.060808335485955,2.183775046923682,2.376390841879881
Upland,Core,Maximum Height,CWM_Max_Height_m,10,26.57008363578219,2.4220617834398595,26.79497397215652,23.348121628720005,24.62046456510417,27.728353905017208,30.581091507793104
Upland,Transition,Wood Density,CWM_WD,10,0.4339146825396825,0.028921448697089666,0.4326190476190476,0.38625,0.41728571428571426,0.46175,0.465
Upland,Transition,Specific Leaf Area,CWM_SLA,10,16.95104981902592,2.7758268591398965,16.601067965398933,14.027696440190926,14.892831333773893,17.736706470060355,23.138102740162505
Upland,Transition,Log10 Seed Mass,CWM_Log10_Seed_Mass,10,2.7269730929069187,0.4276919190480907,2.6484333756365985,2.1782195402115723,2.4656372947317093,2.891066817807266,3.5411484963725726
Upland,Transition,Maximum Height,CWM_Max_Height_m,10,19.710563209345235,6.852705202981086,20.132180304196428,12.592917716666667,13.524018532000001,22.515288953749998,33.84116678875
