Section_Group,Product,Filename,Exists,File_Size_Bytes,Path
PCA,PCA extreme species,omo_functional_traits_pca_extreme_species_07C.csv,True,3729.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_extreme_species_07C.csv
PCA,PCA dimensionality strategy,omo_functional_traits_pca_dimensionality_strategy_07C.csv,True,383.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_traits_pca_dimensionality_strategy_07C.csv
CWM,CWM ecological interpretation,omo_cwm_ecological_interpretation_07C.csv,True,1526.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_ecological_interpretation_07C.csv
CWM,CWM headline results,omo_cwm_headline_results_07C.csv,True,438.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_headline_results_07C.csv
CWM,Significant Seed Mass ratios,omo_cwm_significant_seed_mass_ratios_07C.csv,True,970.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_significant_seed_mass_ratios_07C.csv
FUNCTIONAL_DIVERSITY,Plot-level FD metrics,omo_functional_diversity_plot_metrics_07C.csv,True,12955.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_diversity_plot_metrics_07C.csv
FUNCTIONAL_DIVERSITY,FD metric completeness,omo_functional_diversity_metric_completeness_07C.csv,True,140.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_diversity_metric_completeness_07C.csv
FUNCTIONAL_DIVERSITY,FEve correction audit,omo_feve_correction_audit_07C.csv,True,7912.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_feve_correction_audit_07C.csv
FUNCTIONAL_DIVERSITY,FRic calculation audit,omo_fric_calculation_audit_07C.csv,True,5086.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_fric_calculation_audit_07C.csv
FUNCTIONAL_DIVERSITY,Final FD metric policy,omo_fd_final_metric_policy_07C.csv,True,933.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_fd_final_metric_policy_07C.csv
FUNCTIONAL_DIVERSITY,FD ecological interpretation,omo_fd_ecological_interpretation_07C.csv,True,1467.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_fd_ecological_interpretation_07C.csv
FUNCTIONAL_DIVERSITY,FD headline results,omo_fd_headline_results_07C.csv,True,438.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_fd_headline_results_07C.csv
INTEGRATION,Plot-level functional integration,omo_functional_composition_diversity_plot_integration_07C.csv,True,15181.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_composition_diversity_plot_integration_07C.csv
INTEGRATION,CWM-FD correlations,omo_cwm_fd_correlations_07C.csv,True,2155.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_fd_correlations_07C.csv
INTEGRATION,Functional ecology correlation matrix,omo_functional_ecology_correlation_matrix_07C.csv,True,768.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_ecology_correlation_matrix_07C.csv
INTEGRATION,Habitat-zone synthesis,omo_functional_ecology_habitat_zone_synthesis_07C.csv,True,1305.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_functional_ecology_habitat_zone_synthesis_07C.csv
INTEGRATION,Design-adjusted CWM-FD associations,omo_cwm_fd_design_adjusted_associations_07C.csv,True,2243.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_fd_design_adjusted_associations_07C.csv
INTEGRATION,Seed Mass pooled-vs-adjusted comparison,omo_seed_mass_fdis_pooled_vs_adjusted_07C.csv,True,237.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_seed_mass_fdis_pooled_vs_adjusted_07C.csv
INTEGRATION,Cell-residualized CWM-FD data,omo_cwm_fd_cell_residualized_07C.csv,True,20720.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_fd_cell_residualized_07C.csv
INTEGRATION,CWM-FD multivariable results,omo_cwm_fd_multivariable_results_07C.csv,True,1829.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_fd_multivariable_results_07C.csv
INTEGRATION,CWM multivariable VIF,omo_cwm_multivariable_vif_07C.csv,True,235.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_multivariable_vif_07C.csv
INTEGRATION,CWM-FD standardized effects,omo_cwm_fd_standardized_effects_07C.csv,True,710.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_cwm_fd_standardized_effects_07C.csv
INTEGRATION,Section 8 interpretation,omo_section_8_functional_integration_interpretation_07C.csv,True,813.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_section_8_functional_integration_interpretation_07C.csv
FINAL_SYNTHESIS,Analytical coverage summary,omo_07C_analytical_coverage_summary.csv,True,424.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_analytical_coverage_summary.csv
FINAL_SYNTHESIS,Trait-space summary,omo_07C_trait_space_summary.csv,True,254.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_trait_space_summary.csv
FINAL_SYNTHESIS,PCA synthesis,omo_07C_pca_synthesis.csv,True,475.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_pca_synthesis.csv
FINAL_SYNTHESIS,CWM headline synthesis,omo_07C_cwm_headline_synthesis.csv,True,890.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_cwm_headline_synthesis.csv
FINAL_SYNTHESIS,FD headline synthesis,omo_07C_fd_headline_synthesis.csv,True,628.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_fd_headline_synthesis.csv
FINAL_SYNTHESIS,Seed Mass-FD final integration,omo_07C_seed_mass_fd_final_integration.csv,True,186.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_seed_mass_fd_final_integration.csv
FINAL_SYNTHESIS,Notebook headline findings,omo_07C_headline_findings.csv,True,1715.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_headline_findings.csv
FINAL_SYNTHESIS,Methodological decisions,omo_07C_methodological_decisions.csv,True,764.0,C:\Peter\SDM_data\omo_ecodb\omo-ecological-informatics\outputs\functional_ecology\omo_07C_methodological_decisions.csv
