Plot_ID,FRic_4D,FRic_4D_Feasible,FRic_Status,Calculated_FRic_Available,Feasibility_Agreement
BuP10,10.801961750897433,True,FRIC_4D_FEASIBLE,True,True
TmP1,0.5919808075124662,True,FRIC_4D_FEASIBLE,True,True
TmP2,4.229245534865635,True,FRIC_4D_FEASIBLE,True,True
TmP3,6.440448604626225,True,FRIC_4D_FEASIBLE,True,True
TmP4,0.0025624302374430137,True,FRIC_4D_FEASIBLE,True,True
TmP5,,False,INSUFFICIENT_TAXA,False,True
TmP6,6.424746861102641,True,FRIC_4D_FEASIBLE,True,True
TmP7,3.85217431924497,True,FRIC_4D_FEASIBLE,True,True
TmP8,1.0024297716863813,True,FRIC_4D_FEASIBLE,True,True
TmP9,3.1378082666130243,True,FRIC_4D_FEASIBLE,True,True
TmP10,2.5791756105396573,True,FRIC_4D_FEASIBLE,True,True
TsP1,2.5749867186792446,True,FRIC_4D_FEASIBLE,True,True
TsP2,2.076307112613525,True,FRIC_4D_FEASIBLE,True,True
TsP3,1.4510556434281656,True,FRIC_4D_FEASIBLE,True,True
TsP4,,False,INSUFFICIENT_TAXA,False,True
TsP5,,False,INSUFFICIENT_TAXA,False,True
TsP6,5.409319420622283,True,FRIC_4D_FEASIBLE,True,True
TsP7,1.0629063509359653,True,FRIC_4D_FEASIBLE,True,True
TsP8,,False,INSUFFICIENT_TAXA,False,True
TsP9,1.8849711986529456,True,FRIC_4D_FEASIBLE,True,True
TsP10,2.549992488062333,True,FRIC_4D_FEASIBLE,True,True
TuP1,1.7144496503699371,True,FRIC_4D_FEASIBLE,True,True
TuP2,0.09921093462728905,True,FRIC_4D_FEASIBLE,True,True
TuP3,,False,INSUFFICIENT_TAXA,False,True
TuP4,0.05516423541152772,True,FRIC_4D_FEASIBLE,True,True
TuP5,,False,INSUFFICIENT_TAXA,False,True
TuP6,5.056366289677265,True,FRIC_4D_FEASIBLE,True,True
TuP7,0.013188910902545042,True,FRIC_4D_FEASIBLE,True,True
TuP8,0.8422032253309355,True,FRIC_4D_FEASIBLE,True,True
TuP9,,False,INSUFFICIENT_TAXA,False,True
TuP10,0.8896101320162237,True,FRIC_4D_FEASIBLE,True,True
