Variable_1,Variable_2,Pearson_r,Spearman_rho,Pearson_q_BH,Spearman_q_BH,Association_Class,Domain_1,Domain_2,Analysis_Dataset,N,Partial_Pearson_r,Partial_Pearson_p,Partial_Spearman_rho,Partial_Spearman_p,Minimum_Absolute_Partial_Association,Partial_Pearson_q_BH,Partial_Spearman_q_BH,Partial_Pearson_FDR,Partial_Spearman_FDR,Both_Partial_FDR,Partial_Association_Class,Pearson_Absolute_Change,Spearman_Absolute_Change,Coupling_Interpretation
CWM_Log10_Seed_Mass,Estimated_Mean_Height,-0.37957695315363776,-0.3471316943015056,0.02387704391577141,0.03643076639780575,ROBUST_WEAK_TO_MODERATE,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.055912713007332616,0.6879980818949888,-0.012083095101963023,0.9308958802245644,0.012083095101963023,0.7505433620672605,0.9574929053738377,False,False,False,NOT_FDR_SUPPORTED,-0.3236642401463051,-0.33504859919954255,EXPLAINED_OR_ATTENUATED_BY_DESIGN
Richness,CWM_SLA,-0.41807098651882135,-0.3839051309058249,0.0004954205553458501,0.001687191354877532,ROBUST_WEAK_TO_MODERATE,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,-0.010183230351397957,0.9241093880197554,0.037503603301253144,0.7256329726908488,0.010183230351397957,0.9241093880197554,0.791599606571835,False,False,False,NOT_FDR_SUPPORTED,-0.4078877561674234,-0.34640152760457177,EXPLAINED_OR_ATTENUATED_BY_DESIGN
FEve,Estimated_Mean_Height,0.191082250086748,0.2214159006611837,0.341002192679251,0.2221669817117667,NOT_FDR_SUPPORTED,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,53,0.24489477122598025,0.07716641785118786,0.28527656829543624,0.03839950072909883,0.24489477122598025,0.1462100548759349,0.09215880174983719,False,False,False,NOT_FDR_SUPPORTED,0.05381252113923224,0.06386066763425255,NO_SUPPORTED_COUPLING
CWM_Max_Height_m,Estimated_Mean_Height,0.31034514249173023,0.2638078902229845,0.08055607435957318,0.14930227149207503,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.18052818915092045,0.1914411127883957,0.24200495521250237,0.07788952572838756,0.18052818915092045,0.297693773725987,0.15874361881871116,False,False,False,NOT_FDR_SUPPORTED,-0.12981695334080978,-0.02180293501048214,NO_SUPPORTED_COUPLING
CWM_Log10_Seed_Mass,FEve,-0.1650386304433582,-0.1747894295567783,0.3073497476943883,0.21464827792341953,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,-0.17815528122908492,0.09485105935108935,-0.18695948246510044,0.07937180940935558,0.17815528122908492,0.17073190683196085,0.15874361881871116,False,False,False,NOT_FDR_SUPPORTED,0.013116650785726713,0.012170052908322154,NO_SUPPORTED_COUPLING
CWM_SLA,Estimated_Mean_DBH,0.08784027925196981,0.12315608919382502,0.6868360612772412,0.46547037445721184,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.17775669525865054,0.19846251581732466,-0.20228702115494568,0.14239480918667902,0.17775669525865054,0.297693773725987,0.2698006910905497,False,False,False,NOT_FDR_SUPPORTED,0.08991641600668072,0.07913093196112066,NO_SUPPORTED_COUPLING
CWM_SLA,Estimated_Mean_Height,-0.04335456613566202,0.0705546026300743,0.8242763548456864,0.6481867243834615,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.2563461151555389,0.06133499141612479,-0.1745378311416047,0.2068444457061633,0.1745378311416047,0.12266998283224957,0.33452629439970194,False,False,False,NOT_FDR_SUPPORTED,0.21299154901987688,0.1039832285115304,NO_SUPPORTED_COUPLING
CWM_WD,Estimated_Mean_Height,-0.17550495373649552,-0.15784257671050123,0.38709524509393894,0.37159665629893657,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.3229037124212741,0.017241963286883898,0.1610444063274252,0.24468696916976856,0.1610444063274252,0.05619660167958304,0.35234923560446674,False,False,False,NOT_FDR_SUPPORTED,0.14739875868477856,0.0032018296169239735,NO_SUPPORTED_COUPLING
Richness,Estimated_Mean_DBH,0.05061350058862409,0.17291255309111797,0.8057922029105806,0.35930866592001454,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.1518265491339547,0.2730983790458018,0.26414736918091886,0.05359524133679669,0.1518265491339547,0.37813621714034096,0.12058929300779256,False,False,False,NOT_FDR_SUPPORTED,0.10121304854533061,0.09123481608980089,NO_SUPPORTED_COUPLING
CWM_SLA,FDis,0.14576048566212713,0.10560325313006758,0.341002192679251,0.42916836378312767,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.23746129534308455,0.024221110210705433,0.1511050747005803,0.15512857911106093,0.1511050747005803,0.06707384366041505,0.27923144239990966,False,False,False,NOT_FDR_SUPPORTED,0.09170080968095742,0.04550182157051272,NO_SUPPORTED_COUPLING
CWM_Max_Height_m,Estimated_Mean_DBH,0.13941831352063855,0.15662283209453018,0.48517391214934064,0.37159665629893657,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.12380442177198278,0.37243393593483154,0.14732227939775108,0.2877476267647272,0.12380442177198278,0.46233178253979085,0.3984197909050069,False,False,False,NOT_FDR_SUPPORTED,-0.015613891748655767,-0.009300552696779096,NO_SUPPORTED_COUPLING
Pielou,CWM_Log10_Seed_Mass,0.05659601296483319,0.01656369252144172,0.7358992226990264,0.8768598998113233,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,-0.09952225675284802,0.3506790696753037,-0.1288811695410955,0.2260336136157766,0.09952225675284802,0.45087308958253336,0.3390504204236649,False,False,False,NOT_FDR_SUPPORTED,0.04292624378801484,0.11231747701965378,NO_SUPPORTED_COUPLING
CWM_WD,Estimated_Mean_DBH,-0.10031641174919033,-0.15159138555364968,0.6513925726728651,0.37917791972199283,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.2883443559767156,0.03447706212625397,0.08885077186963979,0.5228846208742579,0.08885077186963979,0.08865530261036735,0.6274615450491096,False,False,False,NOT_FDR_SUPPORTED,0.18802794422752528,-0.06274061368400989,NO_SUPPORTED_COUPLING
CWM_WD,FEve,-0.0006371169666614107,-0.07586101227463866,0.9952720985446837,0.5576807939531844,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,-0.16117858720311737,0.13131286707020945,-0.08537623425263877,0.42631943502446357,0.08537623425263877,0.21487560066034275,0.548124987888596,False,False,False,NOT_FDR_SUPPORTED,0.16054147023645596,0.009515221978000102,NO_SUPPORTED_COUPLING
Pielou,CWM_WD,-0.10526242678416925,-0.18487692540222864,0.48517391214934064,0.19459306136122193,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,-0.11070967069996927,0.29889769698184576,-0.07450363834172928,0.4852432534530071,0.07450363834172928,0.398530262642461,0.6023709353209743,False,False,False,NOT_FDR_SUPPORTED,0.0054472439158000235,-0.11037328706049936,NO_SUPPORTED_COUPLING
Richness,CWM_Max_Height_m,0.10996774805131496,0.12121098912945726,0.48517391214934064,0.37159665629893657,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,0.06424720313347007,0.5474373573885558,0.08911119616453628,0.4035886411653228,0.06424720313347007,0.6158670270621253,0.5381181882204303,False,False,False,NOT_FDR_SUPPORTED,-0.045720544917844885,-0.03209979296492098,NO_SUPPORTED_COUPLING
CWM_Log10_Seed_Mass,Estimated_Mean_DBH,-0.19915976466685092,-0.32288927005908136,0.33479988556209894,0.05644549889020864,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.09412045035179727,0.4984295697846471,-0.042729178578235175,0.7590054278426241,0.042729178578235175,0.5788214358789451,0.8036528059510137,False,False,False,NOT_FDR_SUPPORTED,-0.10503931431505366,-0.2801600914808462,NO_SUPPORTED_COUPLING
CWM_SLA,FEve,0.03911161804976057,0.09989955566148558,0.8057922029105806,0.4520770484946886,NOT_FDR_SUPPORTED,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.0903580730888288,0.39972620683742044,0.040636704119850195,0.7053543234570101,0.040636704119850195,0.47967144820490454,0.791599606571835,False,False,False,NOT_FDR_SUPPORTED,0.05124645503906823,-0.05926285154163538,NO_SUPPORTED_COUPLING
Richness,FEve,0.06675950400709209,0.021993948583029846,0.6868360612772412,0.8618386649241229,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.034071523620336865,0.751260108740579,0.059174118575740876,0.5817441343259238,0.034071523620336865,0.7954518798429661,0.6755738334107501,False,False,False,NOT_FDR_SUPPORTED,-0.032687980386755223,0.03718016999271103,NO_SUPPORTED_COUPLING
Richness,CWM_Log10_Seed_Mass,-0.20259147273999079,-0.15204060061314578,0.15367365451451764,0.28905803882721665,NOT_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FULL_INTEGRATED_BACKBONE,90,-0.01618403433045189,0.8796610266571263,0.0022312791426212083,0.9833478410261793,0.0022312791426212083,0.9047941988473299,0.9833478410261792,False,False,False,NOT_FDR_SUPPORTED,-0.18640743840953888,-0.1498093214705246,NO_SUPPORTED_COUPLING
Pielou,FEve,0.4924107094807892,0.47742732169960117,1.7127507344757464e-05,4.0269636428078075e-05,ROBUST_WEAK_TO_MODERATE,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.549492775474374,2.452449374670928e-08,0.5548651248509228,1.676485070922842e-08,0.549492775474374,8.828817748815341e-07,6.035346255322231e-07,True,True,True,ROBUST_MODERATE,0.05708206599358484,0.0774378031513216,PERSISTS_AFTER_DESIGN_CONTROL
Pielou,Estimated_Mean_Height,0.2978913152771118,0.367670612856071,0.09388557491974062,0.024943089852681535,ONE_METHOD_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.5101710690008101,8.118325365115857e-05,0.5601783911516931,1.0595232521831575e-05,0.5101710690008101,0.0007306492828604271,0.00012714279026197889,True,True,True,ROBUST_MODERATE,0.21227975372369828,0.1925077782956221,PERSISTS_AFTER_DESIGN_CONTROL
Pielou,FDis,0.3862830287647102,0.36712768795085654,0.0012212256531057319,0.0026769317309766425,ROBUST_WEAK_TO_MODERATE,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.4398733377349486,1.438045502493424e-05,0.5165206941006707,1.8747244324290588e-07,0.4398733377349486,0.0001725654602992109,3.374503978372306e-06,True,True,True,ROBUST_WEAK_TO_MODERATE,0.053590308970238365,0.14939300614981416,PERSISTS_AFTER_DESIGN_CONTROL
CWM_Log10_Seed_Mass,FDis,-0.40647887674457167,-0.40366798783715774,0.0006324460873097996,0.0009565491968042904,ROBUST_WEAK_TO_MODERATE,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.5229125020337259,1.2417651898682254e-07,-0.42392888010865537,3.131900398167905e-05,0.42392888010865537,2.2351773417628058e-06,0.00028187103583511146,True,True,True,ROBUST_WEAK_TO_MODERATE,0.11643362528915419,0.020260892271497632,PERSISTS_AFTER_DESIGN_CONTROL
Pielou,Estimated_Mean_DBH,0.33286219247355825,0.37270301858989524,0.0626313824423328,0.024804062908534073,ONE_METHOD_FDR_SUPPORTED,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.3349954171327145,0.0132823935370621,0.4531818789059934,0.0005791714473512004,0.3349954171327145,0.0531295741482484,0.0034750286841072025,False,True,False,ONE_METHOD_FDR_SUPPORTED,0.0021332246591562742,0.08047886031609813,PERSISTS_AFTER_DESIGN_CONTROL
CWM_Max_Height_m,FEve,0.3062202502938679,0.29971569144861165,0.02110366187133569,0.02224153233971977,ROBUST_WEAK,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.3401446582465901,0.001108716015194635,0.3193905345590739,0.0022818629968612836,0.3193905345590739,0.007982755309401372,0.010522100056627874,True,True,True,ROBUST_WEAK_TO_MODERATE,0.033924407952722224,0.019674843110462248,PERSISTS_AFTER_DESIGN_CONTROL
