Variable_1,Variable_2,Domain_1,Domain_2,Domain_Pair,Analysis_Dataset,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Minimum_Absolute_Association,Pearson_Strength,Spearman_Strength,Direction_Consistent,Pearson_q_BH,Spearman_q_BH,Pearson_FDR_Significant,Spearman_FDR_Significant,Both_FDR_Significant,Association_Class
FEve,Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,FUNCTIONAL_DIVERSITY × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,53,0.32995551195958905,0.01582914064032286,0.24625060474117078,0.0754915714071941,0.24625060474117078,WEAK_TO_MODERATE,WEAK,True,0.06331656256129144,0.19412118361849912,False,False,False,NOT_FDR_SUPPORTED
Pielou,CWM_SLA,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.21574794297838326,0.04112445462735736,0.3369144664062968,0.0011660458361311221,0.21574794297838326,WEAK,WEAK_TO_MODERATE,True,0.12337336388207208,0.006996275016786732,False,True,False,ONE_METHOD_FDR_SUPPORTED
CWM_Log10_Seed_Mass,Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.19915976466685092,0.14879994913871064,-0.32288927005908136,0.017247235772008193,0.19915976466685092,WEAK,WEAK_TO_MODERATE,True,0.33479988556209894,0.05644549889020864,False,False,False,NOT_FDR_SUPPORTED
FEve,Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,FUNCTIONAL_DIVERSITY × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,53,0.191082250086748,0.1705010963396255,0.2214159006611837,0.11108349085588334,0.191082250086748,WEAK,WEAK,True,0.341002192679251,0.2221669817117667,False,False,False,NOT_FDR_SUPPORTED
CWM_Log10_Seed_Mass,FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,-0.1650386304433582,0.12220593645547007,-0.1747894295567783,0.10136168679717034,0.1650386304433582,WEAK,WEAK,True,0.3073497476943883,0.21464827792341953,False,False,False,NOT_FDR_SUPPORTED
CWM_WD,Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.17550495373649552,0.20430026824402334,-0.15784257671050123,0.25431787378923365,0.15784257671050123,WEAK,WEAK,True,0.38709524509393894,0.37159665629893657,False,False,False,NOT_FDR_SUPPORTED
Richness,CWM_Log10_Seed_Mass,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.20259147273999079,0.055493264130242484,-0.15204060061314578,0.15255840938103102,0.15204060061314578,WEAK,WEAK,True,0.15367365451451764,0.28905803882721665,False,False,False,NOT_FDR_SUPPORTED
Richness,Estimated_Mean_Height,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,STRUCTURAL_ECOLOGY × TAXONOMIC_DIVERSITY,PRIMARY_ASSOCIATION_SET,54,0.13951114448437815,0.314350087316985,0.1831785176964391,0.1848943515754132,0.13951114448437815,WEAK,WEAK,True,0.48517391214934064,0.3328098328357437,False,False,False,NOT_FDR_SUPPORTED
CWM_Max_Height_m,Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.13941831352063855,0.31467538863295585,0.15662283209453018,0.2580532335409282,0.13941831352063855,WEAK,WEAK,True,0.48517391214934064,0.37159665629893657,False,False,False,NOT_FDR_SUPPORTED
Richness,FDis,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.16161306650401208,0.12806239487266177,0.13067684833923945,0.2195775180622311,0.13067684833923945,WEAK,WEAK,True,0.3073497476943883,0.35930866592001454,False,False,False,NOT_FDR_SUPPORTED
CWM_Max_Height_m,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.11375251848259896,0.28572992581018825,0.2070495460270161,0.05022285013949141,0.11375251848259896,WEAK,WEAK,True,0.48517391214934064,0.14930227149207503,False,False,False,NOT_FDR_SUPPORTED
Richness,CWM_Max_Height_m,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.10996774805131496,0.3021677427988292,0.12121098912945726,0.2551053149659804,0.10996774805131496,WEAK,WEAK,True,0.48517391214934064,0.37159665629893657,False,False,False,NOT_FDR_SUPPORTED
CWM_SLA,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.14576048566212713,0.17043440175717336,0.10560325313006758,0.32187627283734577,0.10560325313006758,WEAK,WEAK,True,0.341002192679251,0.42916836378312767,False,False,False,NOT_FDR_SUPPORTED
Pielou,CWM_WD,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.10526242678416925,0.3234492747662271,-0.18487692540222864,0.08108044223384246,0.10526242678416925,WEAK,WEAK,True,0.48517391214934064,0.19459306136122193,False,False,False,NOT_FDR_SUPPORTED
CWM_WD,Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.10031641174919033,0.47045019137484706,-0.15159138555364968,0.27385071979921705,0.10031641174919033,WEAK,WEAK,True,0.6513925726728651,0.37917791972199283,False,False,False,NOT_FDR_SUPPORTED
CWM_WD,FDis,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,-0.09884014024212139,0.35400716379983,-0.18056024299696255,0.08856275189438355,0.09884014024212139,WEAK,WEAK,True,0.5097703158717551,0.199266191762363,False,False,False,NOT_FDR_SUPPORTED
CWM_SLA,Estimated_Mean_DBH,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.08784027925196981,0.5276414009451581,0.12315608919382502,0.37496224609053175,0.08784027925196981,WEAK,WEAK,True,0.6868360612772412,0.46547037445721184,False,False,False,NOT_FDR_SUPPORTED
FDis,Estimated_Mean_DBH,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,FUNCTIONAL_DIVERSITY × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.07034239276121997,0.6132493522491886,0.0707070707070707,0.6114059211846519,0.07034239276121997,WEAK,WEAK,True,0.7358992226990264,0.6481867243834615,False,False,False,NOT_FDR_SUPPORTED
Richness,Estimated_Mean_DBH,TAXONOMIC_DIVERSITY,STRUCTURAL_ECOLOGY,STRUCTURAL_ECOLOGY × TAXONOMIC_DIVERSITY,PRIMARY_ASSOCIATION_SET,54,0.05061350058862409,0.7162597359205161,0.17291255309111797,0.21117014418321128,0.05061350058862409,WEAK,WEAK,True,0.8057922029105806,0.35930866592001454,False,False,False,NOT_FDR_SUPPORTED
CWM_SLA,Estimated_Mean_Height,FUNCTIONAL_COMPOSITION,STRUCTURAL_ECOLOGY,FUNCTIONAL_COMPOSITION × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,-0.04335456613566202,0.7555866586085459,0.0705546026300743,0.6121763508066025,0.04335456613566202,WEAK,WEAK,False,0.8242763548456864,0.6481867243834615,False,False,False,NOT_FDR_SUPPORTED
CWM_SLA,FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.03911161804976057,0.7159315822350335,0.09989955566148558,0.3516154821625356,0.03911161804976057,WEAK,WEAK,True,0.8057922029105806,0.4520770484946886,False,False,False,NOT_FDR_SUPPORTED
FDis,Estimated_Mean_Height,FUNCTIONAL_DIVERSITY,STRUCTURAL_ECOLOGY,FUNCTIONAL_DIVERSITY × STRUCTURAL_ECOLOGY,PRIMARY_ASSOCIATION_SET,54,0.03808514121787884,0.7845318460565986,0.08450543167524298,0.5434902739454157,0.03808514121787884,WEAK,WEAK,True,0.830680778177575,0.6114265581885927,False,False,False,NOT_FDR_SUPPORTED
Pielou,CWM_Max_Height_m,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.022449695788451705,0.8336474733134681,0.07536017166727528,0.4802251281263532,0.022449695788451705,WEAK,WEAK,True,0.8574659725509958,0.5576807939531844,False,False,False,NOT_FDR_SUPPORTED
Richness,FEve,TAXONOMIC_DIVERSITY,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,0.06675950400709209,0.5342058254378542,0.021993948583029846,0.8378987020095638,0.021993948583029846,WEAK,WEAK,True,0.6868360612772412,0.8618386649241229,False,False,False,NOT_FDR_SUPPORTED
Pielou,CWM_Log10_Seed_Mass,TAXONOMIC_DIVERSITY,FUNCTIONAL_COMPOSITION,FUNCTIONAL_COMPOSITION × TAXONOMIC_DIVERSITY,FULL_INTEGRATED_BACKBONE,90,0.05659601296483319,0.5962252067400022,0.01656369252144172,0.8768598998113233,0.01656369252144172,WEAK,WEAK,True,0.7358992226990264,0.8768598998113233,False,False,False,NOT_FDR_SUPPORTED
CWM_WD,FEve,FUNCTIONAL_COMPOSITION,FUNCTIONAL_DIVERSITY,FUNCTIONAL_COMPOSITION × FUNCTIONAL_DIVERSITY,FULL_INTEGRATED_BACKBONE,89,-0.0006371169666614107,0.9952720985446836,-0.07586101227463866,0.47983165682613294,0.0006371169666614107,WEAK,WEAK,True,0.9952720985446837,0.5576807939531844,False,False,False,NOT_FDR_SUPPORTED
