Variable,Domain,Zone,Habitat,EMM,SE,CI95_Lower,CI95_Upper,Inference_Type
CWM_SLA,FUNCTIONAL_COMPOSITION,Buffer,Major River,13.834928715965107,0.6377807877674905,12.565945005180563,15.103912426749652,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Buffer,Stream,13.862614557030268,0.6377807877674905,12.593630846245723,15.131598267814812,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Buffer,Upland,13.738979744760329,0.6377807877674904,12.469996033975784,15.007963455544873,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Transition,Major River,17.04534040655935,0.6377807877674903,15.776356695774806,18.314324117343897,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Transition,Stream,16.69898085235492,0.6377807877674907,15.429997141570375,17.967964563139468,CLASSICAL
CWM_SLA,FUNCTIONAL_COMPOSITION,Transition,Upland,16.95104981902592,0.6377807877674901,15.682066108241374,18.220033529810465,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Core,Major River,0.6555236700799201,0.014006255378946479,0.6276556153095856,0.6833917248502546,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Core,Stream,0.567853908300162,0.014006255378946487,0.5399858535298275,0.5957219630704965,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Core,Upland,0.6526962248436537,0.014006255378946487,0.6248281700733193,0.6805642796139882,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Buffer,Major River,0.5679268263102342,0.014006255378946479,0.5400587715398997,0.5957948810805687,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Buffer,Stream,0.5251431491180183,0.014006255378946477,0.4972750943476838,0.5530112038883528,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Buffer,Upland,0.6011162036329685,0.014006255378946477,0.573248148862634,0.628984258403303,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Transition,Major River,0.5033698786876204,0.014006255378946472,0.4755018239172859,0.5312379334579549,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Transition,Stream,0.39544381500852077,0.014006255378946482,0.3675757602381863,0.42331186977885527,CLASSICAL
CWM_WD,FUNCTIONAL_COMPOSITION,Transition,Upland,0.43391468253968263,0.014006255378946472,0.40604662776934813,0.4617827373100171,CLASSICAL
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Core,Major River,25.21247868091946,0.7669268016751833,23.684343670961656,26.740613690877264,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Core,Stream,38.112282836211406,1.910522290036669,34.30548407480066,41.91908159762215,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Core,Upland,22.22638289060596,0.30610271649233545,21.616459914001947,22.836305867209976,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Buffer,Major River,29.91478225478224,0.644274945739711,28.63103640254053,31.198528107023947,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Buffer,Stream,30.432794572400987,0.766667033077608,28.905177162672533,31.96041198212944,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Buffer,Upland,27.12208801013655,0.5517059997820061,26.022789809018622,28.22138621125448,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Transition,Major River,34.27103660049625,4.375867587103073,25.55193010404094,42.99014309695156,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Transition,Stream,27.012554180568856,1.103988324103012,24.8128094266217,29.21229893451601,HC3
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Transition,Upland,22.6048492063492,0.6585878781778617,21.29258421368089,23.91711419901751,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Core,Major River,25.74105712273107,0.7719117988478416,24.20298928908339,27.27912495637875,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Core,Stream,37.37541361416363,1.474801109298827,34.43680825714463,40.31401897118263,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Core,Upland,23.112142364394717,0.2853609387207904,22.543548282167883,23.68073644662155,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Buffer,Major River,28.592357673190996,0.4806070904198648,27.63472714143706,29.54998820494493,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Buffer,Stream,30.21385596418258,0.6091699868486619,29.000058269427825,31.427653658937338,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Buffer,Upland,29.314023995225597,0.5841053790312364,28.150168621736714,30.47787936871448,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Transition,Major River,25.70281368899915,0.9682030054081917,23.773627088558428,27.632000289439873,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Transition,Stream,27.674848599113275,1.097886915558351,25.487261167073225,29.862436031153326,HC3
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Transition,Upland,23.52053571428571,0.4854622113313232,22.553231142941332,24.48784028563009,HC3
FDis,FUNCTIONAL_DIVERSITY,Core,Major River,1.4879378800394294,0.04343674568311552,1.4015123812182588,1.5743633788606,HC3
FDis,FUNCTIONAL_DIVERSITY,Core,Stream,1.6977849756520411,0.047895768484482695,1.6024874201470078,1.7930825311570744,HC3
FDis,FUNCTIONAL_DIVERSITY,Core,Upland,1.6947540073779075,0.030283561079074595,1.634499220073301,1.755008794682514,HC3
FDis,FUNCTIONAL_DIVERSITY,Buffer,Major River,1.717780167185083,0.04249519886905232,1.6332280511827484,1.8023322831874176,HC3
FDis,FUNCTIONAL_DIVERSITY,Buffer,Stream,1.5869655543061612,0.07438985821371497,1.4389530708144345,1.7349780377978878,HC3
FDis,FUNCTIONAL_DIVERSITY,Buffer,Upland,1.5804912960213324,0.05615792774388676,1.46875463523564,1.6922279568070249,HC3
FDis,FUNCTIONAL_DIVERSITY,Transition,Major River,1.5416085241855781,0.10363038785281849,1.3354165587802909,1.7478004895908654,HC3
FDis,FUNCTIONAL_DIVERSITY,Transition,Stream,1.560230156880299,0.143319700329576,1.2750689092526,1.845391404507998,HC3
FDis,FUNCTIONAL_DIVERSITY,Transition,Upland,1.7068082170563874,0.1855048916039321,1.3377116712976886,2.075904762815086,HC3
Pielou,TAXONOMIC_DIVERSITY,Core,Major River,0.8995000000000004,0.010999719412807477,0.877614008722474,0.9213859912775269,HC3
Pielou,TAXONOMIC_DIVERSITY,Core,Stream,0.9417,0.008923612732382031,0.9239448097905536,0.9594551902094464,HC3
Pielou,TAXONOMIC_DIVERSITY,Core,Upland,0.8435000000000005,0.010021273667849115,0.8235608088394623,0.8634391911605387,HC3
Pielou,TAXONOMIC_DIVERSITY,Buffer,Major River,0.9319,0.010001789963258359,0.9119995753000163,0.9518004246999836,HC3
Pielou,TAXONOMIC_DIVERSITY,Buffer,Stream,0.8855999999999998,0.025845791500196,0.8341749821331412,0.9370250178668584,HC3
Pielou,TAXONOMIC_DIVERSITY,Buffer,Upland,0.912,0.021863211109075444,0.8684990678694215,0.9555009321305785,HC3
Pielou,TAXONOMIC_DIVERSITY,Transition,Major River,0.9255999999999998,0.01737331571017552,0.8910325513383646,0.960167448661635,HC3
Pielou,TAXONOMIC_DIVERSITY,Transition,Stream,0.8651999999999997,0.019146478901379944,0.8271045127875679,0.9032954872124316,HC3
Pielou,TAXONOMIC_DIVERSITY,Transition,Upland,0.9342000000000001,0.01725824190293573,0.899861512118818,0.9685384878811822,HC3
Richness,TAXONOMIC_DIVERSITY,Core,Major River,12.2,0.825144955465925,10.558220367239993,13.841779632760005,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Core,Stream,9.799999999999997,0.8251449554659256,8.15822036723999,11.441779632760005,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Core,Upland,10.800000000000004,0.8251449554659257,9.158220367239997,12.441779632760012,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Buffer,Major River,10.299999999999999,0.825144955465925,8.658220367239993,11.941779632760005,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Buffer,Stream,10.899999999999997,0.825144955465925,9.258220367239991,12.541779632760003,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Buffer,Upland,11.600000000000001,0.825144955465925,9.958220367239996,13.241779632760007,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Transition,Major River,8.099999999999998,0.8251449554659249,6.458220367239992,9.741779632760004,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Transition,Stream,6.3999999999999995,0.8251449554659254,4.758220367239993,8.041779632760006,CLASSICAL
Richness,TAXONOMIC_DIVERSITY,Transition,Upland,5.000000000000005,0.8251449554659248,3.35822036724,6.641779632760011,CLASSICAL
