Plot_ID,Zone,Habitat,Richness,Pielou,CWM_WD,CWM_SLA,CWM_Log10_Seed_Mass,CWM_Max_Height_m,FDis,FEve,Estimated_Mean_DBH,Estimated_Mean_Height,Structural_Coverage_Percent,Use_Primary_Association,Use_Factorial_Structural
BmP1,Buffer,Major River,10,0.893,0.54,10.493065249566962,2.3493239389796328,21.626548692380958,1.6922096019465238,0.7247879056998263,27.904761904761905,26.45714285714286,100.0,True,True
BsP1,Buffer,Stream,7,0.768,0.5485185185185185,12.926785118750628,1.8531747457943168,21.269943194000003,1.4615722971983691,0.42640420655001,29.06296296296296,29.17407407407407,100.0,True,True
BsP2,Buffer,Stream,7,0.77,0.5675000000000001,11.880617518478736,1.496132097017028,19.9259936604,1.2376536979554675,0.6817208475770298,29.06,28.855,100.0,True,True
BsP3,Buffer,Stream,8,0.878,0.541111111111111,12.414858938674309,2.7474583171693,30.47159690055556,1.670383487840285,0.7693542619485259,28.427777777777777,29.77777777777778,100.0,True,True
BsP4,Buffer,Stream,13,0.845,0.5199033743906257,14.565950450277777,2.2388629136331826,22.52169870388889,1.3718923212641478,0.6903569542590597,34.56666666666667,34.044444444444444,100.0,True,True
BsP5,Buffer,Stream,12,0.961,0.47,16.55329870242334,1.5042409010164042,27.4457362834,1.8642543387857864,0.8960697993611846,33.21315789473684,30.489473684210523,95.0,True,True
BsP6,Buffer,Stream,8,0.849,0.531,11.906946770797154,1.7602390769296083,22.0661667889,1.3482727092943954,0.8804636071436512,26.945,27.385,100.0,True,True
BsP7,Buffer,Stream,11,0.944,0.5061111111111112,13.090560732007642,2.602816771398309,28.261280040000003,1.7537725052501962,0.76191860081743,32.023529411764706,32.15294117647059,94.44444444444444,True,True
BsP8,Buffer,Stream,16,0.973,0.5526315789473684,15.741444597960523,1.9513772211414817,28.302088835684213,1.8390226503426368,0.8358519801121154,30.75555555555556,30.58333333333333,94.73684210526316,True,True
BsP9,Buffer,Stream,13,0.899,0.5617391304347826,14.913932696776266,1.7094954545951884,23.10185522069565,1.5589992381964568,0.7587968252820148,30.00454545454545,29.768181818181816,95.65217391304348,True,True
BsP10,Buffer,Stream,14,0.969,0.4529166666666667,14.63175004415631,1.716171590034348,27.048230106166667,1.7638322969338716,0.8041230868903609,30.26875,29.90833333333333,100.0,True,True
BuP1,Buffer,Upland,7,1.0,0.4742857142857143,16.299374171428575,1.857808459358576,25.62509144071428,1.7323527466091853,0.8847929762892732,26.208571428571428,31.071428571428573,100.0,True,True
BuP7,Buffer,Upland,13,0.977,0.5858823529411764,13.982359906494898,2.10380393891416,28.007963192941176,1.752807867226157,0.843365143118902,27.844117647058823,29.18235294117647,100.0,True,True
BuP9,Buffer,Upland,13,0.969,0.5619999999999999,12.397619236786817,2.2107211354462164,28.3896057056,1.8201912166460104,0.8078469336338872,25.28944444444444,28.23333333333333,90.0,True,True
TmP1,Transition,Major River,6,0.936,0.5588888888888889,19.12077266090363,2.9177814188008777,26.071337613333338,1.4718575945763408,0.8502705880277295,49.36666666666666,29.45555555555556,100.0,True,True
TmP2,Transition,Major River,7,0.921,0.4175,16.0992270452098,1.3798571871854517,22.68814516666667,2.1676288473661294,0.8049704513644579,40.825,24.925,100.0,True,True
TmP3,Transition,Major River,10,0.905,0.5196774193548387,20.08505417350689,1.9949130445923131,21.631212842258066,1.701411063049406,0.6536586429406628,29.48709677419355,24.71935483870968,100.0,True,True
TmP4,Transition,Major River,5,0.81,0.4611111111111111,13.847719242169044,2.485763280838047,41.24330894777778,1.0027869076632236,0.7253568025645437,23.17222222222222,24.05555555555556,100.0,True,True
TmP5,Transition,Major River,4,0.875,0.4525,21.52819481355348,3.104002577047117,24.62118995375,1.297295647135223,0.7333428999438704,21.2125,20.637500000000003,100.0,True,True
TmP6,Transition,Major River,14,0.956,0.5377777777777778,15.68767452787966,2.330184917643674,29.678493185055554,1.4951097983940702,0.7025248556315132,28.46944444444445,27.98888888888889,100.0,True,True
TmP7,Transition,Major River,9,0.985,0.5389999999999999,19.03031606201734,2.855053310580858,21.2696171651,1.7859883176606266,0.755327155532082,26.635,25.25,100.0,True,True
TmP8,Transition,Major River,7,0.935,0.4641666666666666,15.879948810334218,2.2501527052475296,35.05242623666666,1.3943505685635922,0.8415366209001289,22.84166666666667,22.725,100.0,True,True
TmP9,Transition,Major River,9,0.973,0.553076923076923,15.169469782262976,2.4758827057602915,25.12006452392308,1.6330604151148294,0.9328925339061472,60.93076923076923,29.084615384615383,100.0,True,True
TmP10,Transition,Major River,10,0.96,0.5299999999999999,14.005026947756502,2.3506409588723045,23.596172964666664,1.4665960823323403,0.8460223445595917,39.77,28.186666666666667,100.0,True,True
TsP3,Transition,Stream,7,0.921,0.4716666666666667,14.408525244381734,1.8725554847271952,35.98837681716667,1.7986008371256086,0.8054622874677466,33.641666666666666,34.225,100.0,True,True
TsP4,Transition,Stream,4,0.793,0.373076923076923,19.012334970770784,2.338729322104515,24.01412413307693,1.039274247121184,0.6536842703753618,25.01538461538462,25.973076923076924,100.0,True,True
TsP5,Transition,Stream,3,0.761,0.3566666666666667,19.43329723333501,2.641398468480353,22.96726408083333,0.9417009797196452,0.8311202849484767,24.05,25.2375,100.0,True,True
TsP7,Transition,Stream,7,0.888,0.3945454545454545,17.09377389574231,2.2781227855781108,28.358493492636363,1.3625709657138958,0.6428156155285367,27.568181818181817,28.38636363636364,100.0,True,True
TsP8,Transition,Stream,4,0.844,0.3642307692307692,18.55092468211849,2.4763326738079297,24.464577118846154,1.060409863605516,0.5818535306507242,25.16538461538461,26.246153846153845,100.0,True,True
TsP10,Transition,Stream,8,0.926,0.3947058823529412,15.12998959602362,1.919596196562868,33.17777586458823,1.5791042214997209,0.8344909759474685,30.147058823529413,30.65882352941177,100.0,True,True
TuP1,Transition,Upland,5,0.963,0.4285714285714285,23.138102740162505,2.542324117783896,25.885846657142856,2.924414402508278,0.8368043234288152,21.942857142857147,23.285714285714285,100.0,True,True
TuP2,Transition,Upland,5,0.935,0.422,14.732409474040589,2.1782195402115723,22.915288954,1.959219209608106,0.740609470032363,25.477777777777774,25.88888888888889,90.0,True,True
TuP4,Transition,Upland,6,0.884,0.3975,16.01052149172304,2.56873566013062,12.861354954166666,1.6212802726868671,0.6211304822764273,23.59166666666667,24.075000000000003,100.0,True,True
TuP5,Transition,Upland,3,0.937,0.4609999999999999,14.027696440190926,3.541148496372573,21.315288953,0.8766009122519117,0.8473649978786075,23.01,23.51,100.0,True,True
TuP7,Transition,Upland,5,0.845,0.462,19.500591270131288,2.757038836144053,14.096074128,1.6967334502757114,0.8095514769234377,21.7,22.49,100.0,True,True
TuP8,Transition,Upland,6,0.936,0.4366666666666667,17.19161443907483,2.4400750203809807,12.592917716666667,1.6714786505929893,0.6036441468529236,22.044444444444444,23.57777777777778,100.0,True,True
TuP9,Transition,Upland,4,0.875,0.38625,17.280550542709843,2.7281310911425773,19.16703243125,1.638172594265633,0.6035589265149872,20.15,21.0875,100.0,True,True
TuP10,Transition,Upland,6,0.976,0.4157142857142856,17.88875844584386,2.9357428116950035,21.097328177142856,1.5315754549363598,0.7360775975341488,22.957142857142856,23.67142857142857,100.0,True,True
