Zone,Habitat,N,Mean,SD,Median,Q1,Q3,Minimum,Maximum,Variable,Domain,Analysis_Dataset,IQR
Core,Stream,10,0.9417,0.02677083819714608,0.9484999999999999,0.9257500000000001,0.96175,0.894,0.97,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.03599999999999992
Core,Upland,10,0.8435,0.03006382100354731,0.841,0.82275,0.868,0.791,0.889,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.04525000000000001
Transition,Major River,10,0.9256,0.052119947130526596,0.9355,0.909,0.959,0.81,0.985,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.04999999999999993
Transition,Stream,10,0.8652000000000001,0.05743943670413988,0.887,0.82675,0.91,0.761,0.926,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.08325000000000005
Transition,Upland,10,0.9342,0.0517747257088072,0.9365000000000001,0.89675,0.97275,0.845,1.0,Pielou,TAXONOMIC_DIVERSITY,FULL_BACKBONE,0.07599999999999996
Buffer,Major River,10,0.5679268263102342,0.04723444483156673,0.5700555555555555,0.5566071428571429,0.5954136029411764,0.4599999999999999,0.636470588235294,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.038806460084033545
Buffer,Stream,10,0.5251431491180184,0.0385454626506481,0.5360555555555555,0.5095591769309898,0.5516033138401559,0.4529166666666667,0.5675000000000001,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.042044136909166085
Buffer,Upland,10,0.6011162036329684,0.061017211517348915,0.6032189542483661,0.5684705882352941,0.6478375000000001,0.4742857142857143,0.6822727272727273,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.079366911764706
Core,Major River,10,0.6555236700799201,0.035426731291402995,0.645922619047619,0.6322045454545455,0.6726491477272728,0.6136666666666666,0.7284615384615385,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.04044460227272728
Core,Stream,10,0.5678539083001622,0.06102745775345531,0.5953501400560224,0.5383,0.6127083333333333,0.4599999999999999,0.6247368421052633,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.0744083333333333
Core,Upland,10,0.6526962248436534,0.02789868348824997,0.6578890502509056,0.6334766827325635,0.6686565184757816,0.6104166666666666,0.69,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.035179835743218035
Transition,Major River,10,0.5033698786876206,0.049739024425575734,0.5248387096774193,0.461875,0.5386944444444444,0.4175,0.5588888888888889,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.07681944444444438
Transition,Stream,10,0.3954438150085208,0.033877135799906845,0.39462566844919783,0.3697692307692307,0.4070054945054945,0.3566666666666667,0.4716666666666667,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.03723626373626382
Transition,Upland,10,0.4339146825396825,0.028921448697089656,0.43261904761904757,0.4172857142857142,0.46175,0.38625,0.465,CWM_WD,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.04446428571428579
Buffer,Major River,10,13.834928715965109,1.9432807884789591,13.918476661179948,12.9249814083738,15.033560588093696,10.493065249566962,17.267074181434733,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,2.1085791797198965
Buffer,Stream,10,13.86261455703027,1.642562125593853,13.82825559114271,12.54284048369339,14.843387033621276,11.880617518478736,16.55329870242334,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,2.300546549927887
Buffer,Upland,10,13.738979744760332,1.4052915954816305,13.905976155807613,12.744492248969062,14.442393897110179,11.341397727922017,16.299374171428575,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,1.6979016481411175
Core,Major River,10,12.605436407219306,1.4998263126910703,12.753271711023865,11.473249593079139,13.451744673270312,10.338381713408015,15.376254737931967,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,1.9784950801911734
Core,Stream,10,13.994407009383954,2.0679742385097106,14.52495748286087,12.808172012198067,15.037545736165384,10.055012889035217,17.267074181434733,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,2.229373723967317
Core,Upland,10,11.760580011429289,1.3579170954988113,12.280219897399386,10.403663683146211,12.827784947659564,9.77391059520689,13.206751433861257,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,2.424121264513353
Transition,Major River,10,17.045340406559355,2.6805284129864844,15.98958792777201,15.299020968667147,19.098158511182056,13.847719242169044,21.52819481355348,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,3.7991375425149094
Transition,Stream,10,16.698980852354925,2.2134164502104547,16.92734631401699,14.588891332292205,18.717468156283,13.640990887702715,19.43329723333501,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,4.128576823990796
Transition,Upland,10,16.95104981902592,2.775826859139898,16.601067965398933,14.892831333773893,17.736706470060355,14.027696440190926,23.138102740162505,CWM_SLA,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,2.843875136286462
Buffer,Major River,10,2.076960647171263,0.2909930820459363,2.182720839601382,1.9580575877120894,2.2492384441631317,1.4018732989339722,2.3587842585916303,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.2911808564510423
Buffer,Stream,10,1.9579969088729168,0.435572857263946,1.8067069113619625,1.7111644884549784,2.166991490510257,1.496132097017028,2.7474583171693,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.4558270020552788
Buffer,Upland,10,2.097365026729123,0.12413356129092451,2.1270953509227217,2.0439558883095583,2.1760692572980145,1.857808459358576,2.2662072373548163,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.13211336898845616
Core,Major River,10,2.408658937727023,0.1282521716398109,2.3722192793546624,2.3223275761011806,2.484945677799908,2.245973054844591,2.627693105159757,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.16261810169872737
Core,Stream,10,2.073607454677938,0.32958680806060375,2.160576818199249,1.9742816030310635,2.2769103705896137,1.4018732989339722,2.525849451418161,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.30262876755855017
Core,Upland,10,2.140360395216761,0.1048957155016728,2.134017179662451,2.060808335485955,2.183775046923682,2.01343068912421,2.376390841879881,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.12296671143772686
Transition,Major River,10,2.4144232106568464,0.4962498753787551,2.413261832316298,2.2701607583465657,2.762730803145155,1.3798571871854517,3.104002577047117,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.49257004479858946
Transition,Stream,10,2.0282930652435143,0.4163465960133538,1.995291370522203,1.845083539386184,2.323577687972914,1.3221971321881052,2.641398468480353,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.47849414858673
Transition,Upland,10,2.7269730929069183,0.4276919190480908,2.648433375636599,2.4656372947317093,2.891066817807266,2.1782195402115723,3.541148496372573,CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,0.4254295230755565
Buffer,Major River,10,22.715243375260687,2.2718204964527957,23.003334598805626,21.231973891771712,24.620530270470237,18.8257742008,25.544227017,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,3.3885563786985244
Buffer,Stream,10,25.041458973369096,3.6461390116363437,25.07504266343116,22.180049767647223,28.05739410085,19.9259936604,30.47159690055556,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,5.877344333202778
Buffer,Upland,10,24.734199578941197,2.653852454484984,24.814695150758823,24.177970509729164,26.02009887817857,20.33367693,28.3896057056,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,1.842128368449405
Core,Major River,10,25.328602554227125,2.293076453963583,25.295828930192307,23.532938196193186,27.562407766202384,22.1469700221875,28.267052380909085,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,4.029469570009198
Core,Stream,10,24.47095205847295,3.256441307589426,23.67447878465333,23.30662586822269,25.08783961431579,20.57668861141176,32.76639843916667,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,1.7812137460931012
Core,Upland,10,26.57008363578219,2.422061783439859,26.79497397215652,24.620464565104168,27.728353905017208,23.348121628720005,30.581091507793104,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,3.10788933991304
Transition,Major River,10,27.09719685991978,6.4694828365697035,24.87062723883654,22.915152116166666,28.776704292125,21.2696171651,41.24330894777778,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,5.861552175958334
Transition,Stream,10,28.680232514743704,4.209231631077116,28.868482434318185,25.100308107777472,31.21093541959615,22.96726408083333,35.98837681716667,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,6.1106273118186785
Transition,Upland,10,19.71056320934524,6.852705202981086,20.132180304196428,13.524018532,22.51528895375,12.592917716666667,33.84116678875,CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,FULL_BACKBONE,8.991270421750002
Buffer,Major River,10,1.717780167185083,0.12748559660715705,1.688706580040766,1.6312685321694158,1.781360462860277,1.5753154471664896,1.9907648308977288,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.15009193069086124
Buffer,Stream,10,1.5869655543061614,0.22316957464114504,1.614691363018371,1.3943123152477033,1.7613173490129528,1.2376536979554675,1.8642543387857864,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.3670050337652495
Buffer,Upland,10,1.580491296021332,0.16847378323166032,1.5897715001874722,1.4385491899075753,1.7160348925612021,1.3121914361187996,1.8201912166460104,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.2774857026536268
Core,Major River,10,1.487937880039429,0.1303102370493466,1.5062928833709814,1.3890808451928967,1.6024479797600826,1.2468049033003985,1.6260822291125805,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.21336713456718592
Core,Stream,10,1.6977849756520413,0.14368730545344807,1.6841385877979542,1.6010716781638417,1.7484641716246907,1.4797042507397251,1.9907648308977288,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.14739249346084904
Core,Upland,10,1.6947540073779064,0.09085068323722377,1.6912909485348244,1.65559820411663,1.7757398645767468,1.5257145471226057,1.8046892903272356,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.12014166046011687
Transition,Major River,10,1.5416085241855781,0.31089116355845564,1.4834836964852056,1.4124119470057792,1.6843234010657617,1.0027869076632236,2.1676288473661294,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.2719114540599825
Transition,Stream,10,1.5602301568802992,0.42995910098872814,1.6876494359757803,1.135950139132611,1.9251843508669941,0.9417009797196452,2.0714197313272518,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.7892342117343831
Transition,Upland,10,1.7068082170563872,0.5565146748117967,1.6548256224293112,1.5540016593739867,1.8935977697750075,0.8766009122519117,2.924414402508278,FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.3395961104010208
Buffer,Major River,10,0.765690544215935,0.08620956195358469,0.7626301879893365,0.7167839760140101,0.7798651043744061,0.6419207491967623,0.9694333572848978,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.06308112836039603
Buffer,Stream,10,0.7505060169941382,0.1342394408433934,0.765636431382978,0.7074669220147984,0.8279197568066767,0.42640420655001,0.8960697993611846,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.1204528347918783
Buffer,Upland,10,0.7827175722361361,0.07696630254633482,0.8094358684560624,0.7369853421128704,0.8305908560875244,0.6203294212967464,0.8847929762892732,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.093605513974654
Core,Major River,10,0.7580963693104412,0.03886630734840698,0.7596179031139103,0.7273490162626864,0.7841065923369634,0.6958913847091963,0.8150730876406163,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.056757576074277005
Core,Stream,10,0.7942452900954255,0.08481722084519466,0.776671458578202,0.740416023591794,0.844984323551734,0.6844649729769638,0.9694333572848978,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.10456829995993999
Core,Upland,10,0.7692506559273984,0.039630945886602514,0.7701842828635965,0.742053962903445,0.7974779757644724,0.7048680075942797,0.8247789215583404,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.05542401286102738
Transition,Major River,10,0.7845902895370728,0.08472744130067167,0.78014880344827,0.7273533269093754,0.844900913644726,0.6536586429406628,0.9328925339061472,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.1175475867353506
Transition,Stream,10,0.7514402497862319,0.09184162950246362,0.7961673150708524,0.6770062891658485,0.8206169898156799,0.5818535306507242,0.8344909759474685,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.1436107006498314
Transition,Upland,9,0.7443364764251424,0.1132547825653501,0.740609470032363,0.6211304822764273,0.8368043234288152,0.6035589265149872,0.9002868663845721,FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,0.21567384115238786
Buffer,Major River,9,29.914782254782253,1.8222847323245808,29.863636363636363,28.338461538461537,31.64,27.135714285714283,32.233333333333334,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,3.3015384615384633
Buffer,Stream,10,30.432794572400997,2.3000010992328237,30.136647727272724,29.06074074074074,31.706535947712418,26.945,34.56666666666667,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.645795206971677
Buffer,Upland,8,27.122088010136576,1.4596768722454452,27.091289592760184,26.019586466165414,28.43080357142857,25.28944444444444,28.84526315789473,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.4112171052631552
Core,Major River,10,25.212478680919467,2.3007804050255496,25.48635477582846,23.473815789473683,27.143650793650796,21.857142857142858,28.11458333333333,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,3.669835004177113
Core,Stream,7,38.112282836211406,4.679804752803446,36.73333333333333,35.83269230769231,39.95738095238096,31.8375,46.635,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,4.124688644688646
Core,Upland,10,22.22638289060598,0.9183081494770156,22.20353448275862,21.51688034188034,22.785217391304347,20.791666666666668,23.666666666666668,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.2683370494240052
Transition,Major River,10,34.27103660049628,13.127602761309225,28.978270609318997,24.037916666666668,40.56125,21.2125,60.93076923076923,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,16.523333333333333
Transition,Stream,9,27.012554180568888,3.1225505212960467,26.34117647058824,25.01538461538462,27.568181818181817,24.05,33.641666666666666,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.5527972027971977
Transition,Upland,10,22.604849206349208,1.975763634533586,22.50079365079365,21.760714285714286,23.446250000000003,19.585714285714285,25.58888888888889,Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.6855357142857166
Buffer,Major River,9,28.592357673191007,1.3593621308888908,28.66923076923077,27.85384615384616,29.8625,26.45714285714286,30.281818181818185,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.008653846153841
Buffer,Stream,10,30.213855964182592,1.8275099605459848,29.843055555555555,29.322601010101007,30.559868421052627,27.385,34.044444444444444,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.2372674109516204
Buffer,Upland,8,29.31402399522562,1.5453975723717737,29.22532051282051,28.945098039215686,30.3,26.389473684210525,31.142105263157895,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.3549019607843142
Core,Major River,10,25.74105712273107,2.3157353965435252,26.46651111111111,24.436608187134503,27.060012531328322,21.92142857142857,28.80625,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.623404344193819
Core,Stream,7,37.37541361416361,3.612510189872726,36.484375,35.63179487179487,38.92111111111111,32.284375,43.75333333333333,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,3.2893162393162427
Core,Upland,10,23.112142364394725,0.8560828161623715,23.25456034482759,22.483653846153846,23.74771195652174,21.738333333333333,24.3,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.2640581103678947
Transition,Major River,10,25.702813688999175,2.9046090162245766,25.0875,24.22150537634409,28.137222222222224,20.637500000000003,29.45555555555556,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,3.9157168458781335
Transition,Stream,9,27.674848599113304,3.1052931318691694,26.829411764705885,25.973076923076924,28.38636363636364,24.04230769230769,34.225,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,2.413286713286716
Transition,Upland,10,23.520535714285714,1.456386633993976,23.54388888888889,22.68892857142857,23.974107142857143,21.0875,25.88888888888889,Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,1.285178571428574
