Plot_ID,Zone,Habitat,Plot_Abundance,Structural_Abundance,DBH_Weighted_Sum,Height_Weighted_Sum,BA_Weighted_Sum,Structural_Coverage_Percent,Estimated_Mean_DBH,Estimated_Mean_Height,Estimated_Mean_Basal_Area_Contribution,Structural_Coverage_Class
BsP5,Buffer,Stream,20,17,599.25,550.7,17649.0,85.0,35.25,32.39411764705883,1038.1764705882354,MODERATE_75_90
BsP6,Buffer,Stream,20,20,538.9,547.7,12146.1,100.0,26.945,27.385,607.3050000000001,VERY_HIGH_>=99
BsP7,Buffer,Stream,18,17,544.4,546.6,14488.0,94.44444444444444,32.023529411764706,32.15294117647059,852.2352941176471,GOOD_90_95
BsP8,Buffer,Stream,19,17,537.7,536.2,14217.1,89.47368421052632,31.629411764705885,31.541176470588237,836.3000000000001,MODERATE_75_90
BsP9,Buffer,Stream,23,20,634.1999999999999,627.9,17329.4,86.95652173913044,31.709999999999997,31.395,866.47,MODERATE_75_90
BuP1,Buffer,Upland,7,6,159.86,192.0,3965.0,85.71428571428571,26.643333333333334,32.0,660.8333333333334,MODERATE_75_90
BuP10,Buffer,Upland,24,16,434.95,447.7,10164.6,66.66666666666667,27.184375,27.98125,635.2875,LOW_<75
BuP2,Buffer,Upland,15,12,340.34999999999997,350.3,8250.1,80.0,28.362499999999997,29.191666666666666,687.5083333333333,MODERATE_75_90
BuP3,Buffer,Upland,22,19,483.59999999999997,501.4,10654.4,86.36363636363636,25.452631578947365,26.389473684210525,560.7578947368421,MODERATE_75_90
BuP4,Buffer,Upland,51,38,978.4,1085.8999999999999,20331.0,74.50980392156863,25.74736842105263,28.576315789473682,535.0263157894736,LOW_<75
BuP5,Buffer,Upland,30,18,371.26,409.79999999999995,6559.7,60.0,20.625555555555554,22.766666666666666,364.42777777777775,LOW_<75
BuP6,Buffer,Upland,18,14,400.9,420.6,9591.0,77.77777777777777,28.635714285714283,30.042857142857144,685.0714285714286,MODERATE_75_90
BuP7,Buffer,Upland,17,15,400.95,415.4,9274.4,88.23529411764706,26.73,27.69333333333333,618.2933333333333,MODERATE_75_90
BuP8,Buffer,Upland,25,17,475.65999999999997,511.0,11620.3,68.0,27.979999999999997,30.058823529411764,683.5470588235294,LOW_<75
BuP9,Buffer,Upland,20,16,408.01,457.2,8470.2,80.0,25.500625,28.575,529.3875,MODERATE_75_90
CmP1,Core,Major River,27,21,574.6,563.42,13424.9,77.77777777777777,27.361904761904764,26.829523809523806,639.2809523809524,MODERATE_75_90
CmP10,Core,Major River,32,25,613.5,656.02,12879.9,78.125,24.54,26.2408,515.196,MODERATE_75_90
CmP2,Core,Major River,33,26,695.0,696.44,17001.1,78.78787878787878,26.73076923076923,26.786153846153848,653.8884615384615,MODERATE_75_90
CmP3,Core,Major River,22,20,551.65,558.44,14609.8,90.9090909090909,27.5825,27.922000000000004,730.49,GOOD_90_95
CmP4,Core,Major River,21,19,439.25,457.04,8559.0,90.47619047619048,23.11842105263158,24.054736842105264,450.4736842105263,GOOD_90_95
CmP5,Core,Major River,26,22,485.94999999999993,488.94,8651.7,84.61538461538461,22.08863636363636,22.224545454545453,393.25909090909096,MODERATE_75_90
CmP6,Core,Major River,22,21,459.0,460.34999999999997,8120.900000000001,95.45454545454545,21.857142857142858,21.92142857142857,386.70952380952383,HIGH_95_99
CmP7,Core,Major River,30,27,665.9499999999999,690.72,14263.2,90.0,24.66481481481481,25.582222222222224,528.2666666666667,GOOD_90_95
CmP8,Core,Major River,24,19,499.84999999999997,515.6,10999.3,79.16666666666667,26.307894736842105,27.13684210526316,578.9105263157894,MODERATE_75_90
CmP9,Core,Major River,30,23,654.55,667.1,18859.7,76.66666666666667,28.458695652173912,29.004347826086956,819.9869565217392,MODERATE_75_90
CsP1,Core,Stream,24,14,572.9,558.2,23177.34,58.333333333333336,40.92142857142857,39.871428571428574,1655.5242857142857,LOW_<75
CsP10,Core,Stream,18,15,540.2,548.55,16192.53,83.33333333333333,36.013333333333335,36.57,1079.502,MODERATE_75_90
CsP2,Core,Stream,17,13,465.59999999999997,461.2,17346.02,76.47058823529412,35.815384615384616,35.47692307692308,1334.309230769231,MODERATE_75_90
CsP3,Core,Stream,24,16,654.0,618.0,27248.7,66.66666666666667,40.875,38.625,1703.04375,LOW_<75
CsP4,Core,Stream,21,11,355.6,362.15000000000003,9909.550000000001,52.38095238095238,32.32727272727273,32.92272727272728,900.8681818181819,LOW_<75
CsP5,Core,Stream,6,2,78.8,76.2,2596.54,33.333333333333336,39.4,38.1,1298.27,LOW_<75
CsP6,Core,Stream,25,20,813.7,783.1,32908.07,80.0,40.685,39.155,1645.4035,MODERATE_75_90
CsP7,Core,Stream,19,12,457.4,442.0,14714.5,63.1578947368421,38.11666666666667,36.833333333333336,1226.2083333333333,LOW_<75
CsP8,Core,Stream,17,12,407.4,393.5,13499.46,70.58823529411765,33.949999999999996,32.791666666666664,1124.955,LOW_<75
CsP9,Core,Stream,12,9,450.6,418.3,21042.600000000002,75.0,50.06666666666667,46.47777777777778,2338.066666666667,MODERATE_75_90
CuP1,Core,Upland,19,18,398.6,405.90000000000003,7222.299999999999,94.73684210526316,22.144444444444446,22.55,401.2388888888888,GOOD_90_95
CuP10,Core,Upland,23,23,524.1,541.52,10047.3,100.0,22.786956521739132,23.544347826086955,436.8391304347826,VERY_HIGH_>=99
CuP2,Core,Upland,20,20,455.6,476.31,8699.2,100.0,22.78,23.8155,434.96000000000004,VERY_HIGH_>=99
CuP3,Core,Upland,18,18,417.3,437.40000000000003,7893.8,100.0,23.183333333333334,24.3,438.5444444444445,VERY_HIGH_>=99
CuP4,Core,Upland,26,26,554.0,584.0,9432.5,100.0,21.307692307692307,22.46153846153846,362.78846153846155,VERY_HIGH_>=99
CuP5,Core,Upland,29,29,645.6,671.6,11772.7,100.0,22.26206896551724,23.158620689655173,405.95517241379315,VERY_HIGH_>=99
CuP6,Core,Upland,21,20,442.9,467.01,7964.6,95.23809523809524,22.145,23.3505,398.23,HIGH_95_99
CuP7,Core,Upland,25,25,529.9,553.7,9237.2,100.0,21.195999999999998,22.148000000000003,369.48800000000006,VERY_HIGH_>=99
CuP8,Core,Upland,24,24,568.0,577.31,11087.5,100.0,23.666666666666668,24.05458333333333,461.9791666666667,VERY_HIGH_>=99
CuP9,Core,Upland,25,24,499.0,521.72,8336.6,96.0,20.791666666666668,21.738333333333333,347.35833333333335,HIGH_95_99
TmP1,Transition,Major River,9,9,444.29999999999995,265.1,45546.899999999994,100.0,49.36666666666666,29.45555555555556,5060.766666666666,VERY_HIGH_>=99
TmP10,Transition,Major River,15,15,596.55,422.8,48844.299999999996,100.0,39.769999999999996,28.186666666666667,3256.2866666666664,VERY_HIGH_>=99
TmP2,Transition,Major River,12,12,489.9,299.1,46994.4,100.0,40.824999999999996,24.925,3916.2000000000003,VERY_HIGH_>=99
TmP3,Transition,Major River,31,31,914.1,766.3,24569.3,100.0,29.48709677419355,24.719354838709677,792.558064516129,VERY_HIGH_>=99
TmP4,Transition,Major River,9,9,208.54999999999998,216.5,3900.3,100.0,23.17222222222222,24.055555555555557,433.3666666666667,VERY_HIGH_>=99
TmP5,Transition,Major River,8,8,169.7,165.10000000000002,2830.4,100.0,21.2125,20.637500000000003,353.8,VERY_HIGH_>=99
TmP6,Transition,Major River,18,18,512.45,503.8,12843.7,100.0,28.46944444444445,27.98888888888889,713.5388888888889,VERY_HIGH_>=99
TmP7,Transition,Major River,10,10,266.35,252.5,6241.8,100.0,26.635,25.25,624.1800000000001,VERY_HIGH_>=99
TmP8,Transition,Major River,12,12,274.1,272.7,5126.7,100.0,22.84166666666667,22.724999999999998,427.22499999999997,VERY_HIGH_>=99
TmP9,Transition,Major River,13,13,792.1,378.1,91200.8,100.0,60.93076923076923,29.084615384615386,7015.446153846154,VERY_HIGH_>=99
TsP1,Transition,Stream,18,15,405.9,414.4,9010.77,83.33333333333333,27.06,27.626666666666665,600.7180000000001,MODERATE_75_90
TsP10,Transition,Stream,17,14,440.5,445.6,11570.0,82.3529411764706,31.464285714285715,31.82857142857143,826.4285714285714,MODERATE_75_90
TsP2,Transition,Stream,13,9,252.2,253.3,6003.2,69.23076923076923,28.022222222222222,28.144444444444446,667.0222222222222,LOW_<75
TsP3,Transition,Stream,12,11,379.7,385.5,10994.6,91.66666666666667,34.518181818181816,35.04545454545455,999.5090909090909,GOOD_90_95
TsP4,Transition,Stream,26,12,314.4,322.5,6618.8,46.15384615384615,26.2,26.875,551.5666666666667,LOW_<75
TsP5,Transition,Stream,24,12,289.20000000000005,303.3,5579.2,50.0,24.100000000000005,25.275000000000002,464.93333333333334,LOW_<75
TsP6,Transition,Stream,21,17,447.8,456.1,10004.07,80.95238095238095,26.341176470588238,26.829411764705885,588.474705882353,MODERATE_75_90
TsP7,Transition,Stream,22,15,438.5,448.1,10733.5,68.18181818181819,29.233333333333334,29.873333333333335,715.5666666666667,LOW_<75
TsP8,Transition,Stream,26,14,366.3,380.0,7746.1,53.84615384615385,26.164285714285715,27.142857142857142,553.2928571428572,LOW_<75
TsP9,Transition,Stream,30,25,608.2,599.9,12230.0,83.33333333333333,24.328000000000003,23.996,489.2,MODERATE_75_90
TuP1,Transition,Upland,7,7,153.60000000000002,163.0,3125.2999999999997,100.0,21.942857142857147,23.285714285714285,446.47142857142853,VERY_HIGH_>=99
TuP10,Transition,Upland,7,6,133.4,138.7,2519.5,85.71428571428571,22.233333333333334,23.116666666666664,419.9166666666667,MODERATE_75_90
TuP2,Transition,Upland,10,8,202.0,206.00000000000003,4353.7,80.0,25.25,25.750000000000004,544.2125,MODERATE_75_90
TuP3,Transition,Upland,9,9,230.3,229.8,5099.5,100.0,25.58888888888889,25.533333333333335,566.6111111111111,VERY_HIGH_>=99
TuP4,Transition,Upland,12,12,283.1,288.90000000000003,5653.0,100.0,23.59166666666667,24.075000000000003,471.0833333333333,VERY_HIGH_>=99
TuP5,Transition,Upland,10,10,230.1,235.1,4466.2,100.0,23.009999999999998,23.509999999999998,446.62,VERY_HIGH_>=99
TuP6,Transition,Upland,8,7,137.1,154.6,2421.3,87.5,19.585714285714285,22.085714285714285,345.90000000000003,MODERATE_75_90
TuP7,Transition,Upland,10,10,217.0,224.9,4141.2,100.0,21.7,22.490000000000002,414.12,VERY_HIGH_>=99
TuP8,Transition,Upland,9,9,198.4,212.20000000000002,3866.5,100.0,22.044444444444444,23.57777777777778,429.6111111111111,VERY_HIGH_>=99
TuP9,Transition,Upland,8,8,161.2,168.7,2626.2,100.0,20.15,21.0875,328.275,VERY_HIGH_>=99
