Variable,Domain,Analysis_Dataset,N,Effect,Term,Classical_SS,Classical_df,Classical_F,Classical_p,Partial_Eta_Squared,Effect_Size_Class,Robust_F,Robust_df_num,Robust_df_denom,Robust_p,Primary_Strategy,Primary_Test,Primary_p,Classical_Robust_Agreement,Primary_q_BH_All30,Primary_q_BH_WithinEffect,Primary_Significant_Raw,Primary_Significant_FDR,Inferential_Result
FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,90,ZONE,"C(Zone, Sum)",0.01227583258094313,2.0,0.07551280937831595,0.9273330511868414,0.0018610438698106234,VERY_SMALL,0.03968309643416022,2.0,81.0,0.9611126379365373,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.9611126379365373,True,0.9791876890347987,0.9611126379365373,False,False,NO_STRONG_EFFECT
FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,90,HABITAT,"C(Habitat, Sum)",0.09269114287128832,2.0,0.5701746546758537,0.5676794537853047,0.01388293717935137,SMALL,0.535173136462216,2.0,81.0,0.5876239649447205,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.5876239649447205,True,0.6780276518592928,0.6529155166052449,False,False,NO_STRONG_EFFECT
FDis,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,90,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.48045334177952165,4.0,1.4777157220803567,0.21661466295556447,0.06801063402070645,MEDIUM,4.701958103012643,4.0,81.0,0.0018347600783392747,FACTORIAL_MODEL_WITH_ROBUST_INFERENCE,HC3_ROBUST_F,0.0018347600783392747,False,0.005003891122743477,0.004586900195848186,True,True,FDR_SIGNIFICANT
FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,89,ZONE,"C(Zone, Sum)",0.0027941952796784416,2.0,0.1808548248145259,0.8348967644221789,0.0045010198414901625,VERY_SMALL,0.2067657469849693,2.0,80.0,0.8136433283663058,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.8348967644221789,True,0.8945322475951916,0.9276630715801988,False,False,NO_STRONG_EFFECT
FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,89,HABITAT,"C(Habitat, Sum)",0.0003250275435205646,2.0,0.021037470026100742,0.9791876890347987,0.0005256602865894427,VERY_SMALL,0.022477018532411942,2.0,80.0,0.9777798801581032,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.9791876890347987,True,0.9791876890347987,0.9791876890347988,False,False,NO_STRONG_EFFECT
FEve,FUNCTIONAL_DIVERSITY,FULL_BACKBONE,89,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",0.02073084502086209,4.0,0.6709039578895447,0.6140726672570226,0.03245644018550423,SMALL,0.651728253865787,4.0,80.0,0.6273330506901633,STANDARD_FACTORIAL_MODEL,CLASSICAL_TYPE_III,0.6140726672570226,True,0.682302963618914,0.6140726672570226,False,False,NO_STRONG_EFFECT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE,"C(Zone, Sum)",19.82255642983415,2.0,0.3780850421975397,0.6864881138715353,0.010115152816702758,SMALL,0.5519306253605007,2.0,74.0,0.5781889710197128,ROBUST_OR_TRANSFORMATION_SENSITIVITY,HC3_ROBUST_F,0.5781889710197128,True,0.6780276518592928,0.7227362137746409,False,False,NO_STRONG_EFFECT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,HABITAT,"C(Habitat, Sum)",899.2177474509244,2.0,17.151207574723692,7.585118913597806e-07,0.31672807205742554,LARGE,49.21425653654174,2.0,74.0,2.5529220546942416e-14,ROBUST_OR_TRANSFORMATION_SENSITIVITY,HC3_ROBUST_F,2.5529220546942416e-14,True,3.8293830820413626e-13,2.5529220546942416e-13,True,True,FDR_SIGNIFICANT
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",1013.9065784770959,4.0,9.669361085306877,2.400728514917664e-06,0.34325809009386477,LARGE,9.79318252605163,4.0,74.0,2.056947715095501e-06,ROBUST_OR_TRANSFORMATION_SENSITIVITY,HC3_ROBUST_F,2.056947715095501e-06,True,6.1708431452865025e-06,6.85649238365167e-06,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE,"C(Zone, Sum)",225.2910471975758,2.0,22.72051650809732,2.0271797018897427e-08,0.3804474213650968,LARGE,19.1940166750107,2.0,74.0,1.9272185987710115e-07,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,1.9272185987710115e-07,True,7.227069745391293e-07,4.818046496927529e-07,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,HABITAT,"C(Habitat, Sum)",604.9471205865825,2.0,61.008687254933605,2.2216447686223e-16,0.6224824448086108,LARGE,42.62373311292505,2.0,74.0,4.840497294292187e-13,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,4.840497294292187e-13,True,4.840497294292187e-12,2.420248647146094e-12,True,True,FDR_SIGNIFICANT
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,FACTORIAL_STRUCTURAL_>=75,83,ZONE_X_HABITAT,"C(Zone, Sum):C(Habitat, Sum)",463.4077630445245,4.0,23.367248413115952,1.6273181890983302e-12,0.558127159027618,LARGE,15.595855027670487,4.0,74.0,2.684331642149154e-09,FACTORIAL_MODEL_PLUS_SENSITIVITY,HC3_ROBUST_F,2.684331642149154e-09,True,1.1504278466353518e-08,2.684331642149154e-08,True,True,FDR_SIGNIFICANT
